	SRR24197676	SRR24197677	SRR24197678	SRR24197679	SRR24197680	SRR24197681	SRR24197682	SRR24197683	SRR24197684	SRR24197685	SRR24197686	SRR24197687	SRR24197688	SRR24197689	SRR24197690	SRR24197691	SRR24197692	SRR24197693	SRR24197694	SRR24197695	SRR24197696	SRR24197697	SRR24197698	SRR24197699	SRR24197700	SRR24197701	SRR24197702	SRR24197703	SRR24197704	SRR24197705	SRR24197706	SRR24197707	SRR24197708	SRR24197709	SRR24197710	SRR24197711	SRR24197712	SRR24197713	SRR24197714	SRR24197715	SRR24197716	SRR24197717	SRR24197718	SRR24197719	SRR24197720
ENSG00000000003.15	62.8589769544552	31.7714489280345	34.6511575108147	56.6691032358506	36.8062325198262	37.2909494997631	29.0150991382579	30.9915315652819	34.5847863082083	27.3099888930828	25.7294029549278	26.0559070330024	16.8849390016833	17.660060392669	16.9721494246414	20.7067990419553	26.0443157344364	22.140791950513	27.775597225687	33.5859749153228	34.3195367109558	25.8780237655895	27.0758075150214	26.9612162973213	12.2106617403906	26.0672679425941	26.3231172606506	21.5633789817303	19.3131083836026	19.9641037038841	54.2412976510521	58.3557898843987	62.0970483867849	20.4358241732655	20.7321718968112	21.3025213102088	34.3481283962232	46.4283432728806	42.7983273075329	35.5984140107164	35.1655048369096	42.5715323638584	34.4022158501689	39.4008079514221	38.4006124937119
ENSG00000000005.6	0	0	0	0	0	0.0542774397797018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331791296947847	0	0	0	0	0	0	0.13922430435962	0	0	0	0.166816420857043	0	0.415613962934994	0.426897518053934	0.374335667236459	0.982474250931001	0.86917307100612	0.84965801232089	0	0	0
ENSG00000000419.14	86.3891855780437	52.9718973477931	49.1568706420947	88.8028188480214	50.4032893239443	50.5430901710428	106.185088348904	96.7505110297162	99.2881015177864	72.0905017981558	70.5452557624343	88.4920228474715	109.903446381951	127.985587614186	135.655762781051	82.1939013304822	89.3282032929982	80.1090404970116	108.122089798826	107.117506587656	130.949731212692	128.298332315215	120.345451198401	113.196334870974	81.423418364265	102.995448923018	98.5181450402963	79.4643635254224	71.4294257316942	70.726626354275	88.3203996299661	117.542376240125	117.756542614462	80.3943005177814	83.0883033581077	84.6871124563159	92.001194174947	116.577424180238	109.094535679305	36.5871729120926	39.2576368237084	58.9720950086699	87.1497783533712	89.5347157238921	102.261067400479
ENSG00000000457.14	5.28737816973345	2.57140664420036	1.84402008905842	3.88038798646415	1.77632383211153	1.84634973407552	2.69170737137192	2.47395313446491	3.16496849616163	3.10450265431584	2.92689653940089	3.40936968201696	5.48496978179273	5.56119450724732	4.89590483055105	3.54906499089749	3.67094568137487	4.05241972015573	4.11252277723927	3.82292454316053	3.38539717160957	4.89730229868288	5.23820219050959	4.98158593075074	3.48126818350917	4.73744829116542	5.36645056056251	6.68558246243238	5.63296428666158	5.6973549655716	6.2813228672587	7.5180716894215	7.36821812231848	7.15137942290911	6.51074981001743	7.30053491377288	4.35686538971519	5.21134894832755	4.80062656449332	10.0215839334006	11.2180855836409	13.0122650187876	4.13099391692243	3.27862285458199	3.15435506836093
ENSG00000000460.17	25.0958028049157	16.5439451138137	13.6706473318759	21.4232119469513	16.4544689551099	16.1911116610087	16.2141932169365	20.2787280601976	19.783593806029	14.7127330739213	15.7406176125411	10.6669233941285	18.5479267264324	20.733892698038	22.8074336371857	15.4882947349256	15.1784116685329	17.4041662622566	14.3828913135208	16.9333944509432	16.1960635597512	18.6564178126128	17.3222707981615	11.3028253609128	13.1365093048552	21.3961025280465	21.4131026046997	27.2043981395228	24.6168333281829	30.0409899024492	29.0927880987019	31.0587119439405	38.0156349462139	28.580633741319	31.4142894642966	27.305086101369	28.11406057781	20.6859850868675	25.5623826211839	42.3616681454645	39.6907778350231	31.4102962909236	22.9124696928249	19.0764753747672	23.6367673287177
ENSG00000000938.13	0	0	0	0	0	0.10773933567059	0	0	0	0.0292042871867075	0.055720731207015	0.165892605724431	0	0	0	0	0	0	0	0	0	0.0584270267874742	0.046629954252238	0.0630072597783542	0	0.0198793856179568	0.0708726969659204	0	0.0453052270569677	0.0249677045391035	0.25655227269048	0.138624287875376	0.127819822869431	0.286513397566833	0.0667649895016484	0	0	0.111651160463948	0.111264899571162	0	0	0.0323540526014985	0	0	0
ENSG00000000971.17	0.200035727818509	0	0.709468235968889	0.121653727691318	0.04734720332922	0.313861533912411	1.05853968422204	0.946181751910477	0.509398330913016	1.28434988446563	0.860399608959878	1.5106834574839	9.1697684100598	8.27100172531098	10.2013845508716	0.671671748640659	0.462819218304272	0.372884902048024	2.00236109045745	2.98949741557116	2.57795971669317	6.32693987069669	4.33908540582851	4.70288855135896	4.90365965727078	7.33776046310193	7.23312745764143	16.8727991199434	18.5273843050635	19.41455749282	15.5197530310233	15.2938416638865	15.9660257981819	0.293220612870267	0.0431402177251818	0.220208622958591	18.2893206649398	22.5765339099147	19.434852439647	0.945909962756113	1.25932791923302	0.969460942892314	0.158852049323084	0.0511714422109081	0.116908207976849
ENSG00000001036.14	62.6908044324229	38.9394087147991	32.5284172422794	45.8477347554838	36.8739162517386	42.682884253456	63.138344415859	65.4566491457476	69.200618587052	208.035391778862	200.501180543411	223.689004021441	68.03884046678	72.5319341563013	72.6779916469493	57.2728483285269	61.4164723846568	57.5697109004356	60.5724497008973	61.7136513443454	65.7835348944639	57.0210384002146	52.2971057860621	48.4874415494066	40.5438718563007	49.6188443940143	48.1015810532443	0.260870926207915	0.0668829775192065	0	0.317957704953883	0.0965658458238755	0.26397162953739	0.021285855841823	0.310245987070738	0.0239901293486814	0.172066085752278	0.10018037386697	0	0.0240983007156975	0.0482129298247321	0.0318439794640206	29.2576182865059	29.819520822868	26.626930751732
ENSG00000001084.13	24.5136487495566	22.3324457938528	19.4604005284906	30.1667545704951	16.3409891663156	21.0389743227298	30.0125654770899	44.5853789371445	43.0869190608924	32.509585410377	28.2446338691495	29.3149820377952	11.7657930420298	12.3760113898686	11.0239665660465	18.4747814400484	19.8874133895139	20.4655691654283	34.5189582139364	37.2653958429238	43.7185322731887	12.878507399701	11.1907651422854	15.3836567938586	20.0956713543102	33.536530645854	37.281266327651	24.3647239820478	17.7854387692388	21.2307213406214	30.1516655417007	26.094080353954	29.541024343351	25.126867813447	20.2409058262969	24.1511058163372	36.9212898704444	34.5231359891674	31.9245892683711	18.4044925568306	18.6773839538766	17.5469467622079	27.1955166273891	21.5370865936262	26.0530172787037
ENSG00000001167.15	26.7990388623302	22.5303069601951	23.8599587292987	29.937863029649	19.5992848175558	24.1533845950967	28.3339400634928	42.4599361696464	50.2094455650077	33.4425358194705	35.258872164743	35.9289337535703	20.0891709081897	21.7563483641193	20.5452331064963	27.5979111892914	30.6752133859356	31.40300844156	21.2135634293485	20.9189999066456	21.2197421652693	28.4314011544322	24.8770051346023	21.4443016369503	14.1156482497645	27.6275666837092	31.4850097011363	37.1274869009622	26.3942649713588	33.2963170518263	48.4579664541856	48.0572623219375	51.0903833679143	55.5713314883265	55.3157393089901	50.2408199736975	37.5397606108207	33.0803908975003	38.2251399812418	58.3188736080435	57.8138215626517	56.4202622400892	38.4568113221041	33.5433254600646	36.8133045250503
