	C_1_8_siA1	C_1_8_siA2	C_1_8_siA3	C_1_8_siC1	C_1_8_siC2	C_1_8_siC3	C_4_2_siA1	C_4_2_siA2	C_4_2_siA3	C_4_2_siC1	C_4_2_siC2	C_4_2_siC3	C_Ctrl_siA1	C_Ctrl_siA2	C_Ctrl_siA3	C_Ctrl_siC1	C_Ctrl_siC2	C_Ctrl_siC3	P_siA1	P_siA2	P_siA3	P_siC1	P_siC2	P_siC3
ENSG00000000003.15	17.4318458854781	14.7792535976105	15.7761885275356	17.9420811409165	16.0868437827758	19.3706444476778	18.3620935142539	18.3124814124957	17.8760163473987	17.2647175968739	19.8875999711019	18.4270479172958	21.5701372487824	19.5227671435071	20.3491216995475	21.1251592473927	21.7822439985206	19.694631942392	22.5657408364587	22.5475794646619	24.0205376801926	35.2462698182046	31.4844409906569	32.1034909411961
ENSG00000000005.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069094192081995	0	0	0	0	0	0	0	0
ENSG00000000419.14	262.268938323068	241.197012051081	268.405797838901	254.670898730802	236.258485902094	248.906324659803	302.486509439777	281.434476961984	271.430222398805	281.039390458688	289.895186488292	272.106681272098	246.797706232082	198.563597275339	238.207842663769	225.100592145426	246.638183198323	203.629845533614	100.583829484013	95.2575280678913	90.6059601980719	98.8564758742063	96.9418967562227	89.3122623155892
ENSG00000000457.14	4.88403337740446	4.69490589788563	5.05826453325706	4.52815510495865	4.80275663954714	4.88804555376638	4.70166657957963	5.74854588648792	5.53737708895248	5.81376922650885	5.69003741458201	7.0674585137441	12.4487013149186	11.4956625659446	10.4065253420631	11.5525785313256	10.1925251394566	10.7269720807919	6.52657931051172	7.09239642029911	7.06326946708075	5.60930418573943	5.7383202803176	5.46565092272716
ENSG00000000460.17	11.1664557721932	11.031590201664	14.2543236443977	10.878007585467	8.90471089341517	11.7659983308723	9.64753438051386	11.6309946126082	9.6564926505347	11.3388465513026	11.3887906996666	10.4055429925707	14.9868447763333	15.3937630507504	13.9421208285023	18.869389162384	15.5452173539388	17.2330002407017	13.5369500525377	16.7583412506387	13.7472863110716	18.0452800197277	17.5306336758095	17.7725571377951
ENSG00000000938.13	0	0.0302027176281195	0	0	0	0	0	0	0.117967580096798	0.184068356546779	0	0.0412351723295191	0	0	0	0	0.0304085536229542	0	0	0	0	0	0	0
ENSG00000000971.17	15.0835961773881	11.7298900188099	15.7920905919815	16.0291904197233	12.9468081285083	12.7061384319986	16.9627388964343	16.5997176929531	14.1815656743948	14.3018042111945	16.1331160763418	14.9117423056305	14.4450011609412	13.0743515623769	15.0041192613732	11.7024955925489	12.1729614571072	10.8968130000701	19.8799777109808	18.9794022409712	18.7145971811321	11.0318519850837	11.8814365212841	12.7064450907536
ENSG00000001036.14	63.3505835992126	61.6747197893336	62.118043595477	55.043663268574	57.9030995245153	62.8739681371154	63.749152082474	57.2512059548331	56.2823963208025	60.5533301538502	59.7325558910844	68.503824968747	55.1313031703297	51.8866014474032	54.0882122874104	56.8120201201011	56.0570552505795	58.7364858422663	180.578855795376	172.472229123363	174.489057931527	177.839164257363	185.843227608757	188.241539319176
ENSG00000001084.13	46.9482938870695	54.5396555025504	40.4912970151071	42.3403820497079	38.9529140953233	42.9560326417673	39.8763561909551	34.5823331396437	40.9014459038984	39.8195008378367	43.538019375688	48.8409545988373	18.7758284682717	21.5662046936691	19.4457414600315	21.1975118305356	20.125199672504	18.2111406160628	36.6376353708503	51.7432851035825	42.5528545700817	40.5116980095474	41.3528001143106	37.025422118766
ENSG00000001167.15	8.13009377940099	8.533600026389	9.12566328122111	7.57019024707256	8.52072700767925	9.21838209626847	6.83364735386245	8.1296662831662	7.48454113935681	8.38892198200958	7.85696547906567	8.72136797604408	7.22377644682367	8.7615748644102	6.89485239774124	9.22505097335025	9.14853780398142	8.55782812347261	12.8568992372271	12.4771485645701	13.6177225729496	17.344509573513	16.6258619818771	16.3091335020732
ENSG00000001460.18	8.15277658046998	7.43644317220788	7.81080823254189	7.32843210463852	7.14271625211772	7.16333877531273	6.6540849251265	8.10032256129474	6.21146269921767	7.06727011079032	6.61982159678904	6.89068261286992	8.94133975719359	8.65317195238309	7.17801478445065	7.65705110190371	7.83638255402493	8.9581292063414	9.22515953196997	7.29584259917035	8.16291842847235	8.78409652389238	8.93665823868057	7.18278887223713
ENSG00000001461.17	13.5432596097024	14.2293906651182	15.3136584183974	12.6256301409371	15.1241607990717	14.985203475498	12.5335852494868	12.4801695914157	12.8343372079759	13.3051478602099	13.4029625140368	13.467522828116	11.677322375106	11.5939167477992	9.4509540537264	11.5309019489792	10.7639487612835	13.2733208004665	11.1911464049719	12.3123831331972	11.1753585075302	8.77614405603561	10.4443552059802	9.38247863676136
ENSG00000001497.18	29.7714835576643	29.1702099301547	30.6774159395981	28.4254065059423	30.4318434289887	29.5436229786515	24.970318001331	21.3057856573066	23.0815967729801	27.743994602118	29.2714412368254	24.5591281500946	24.5295745414786	24.4905233893621	24.1813732245448	23.7349289470465	21.5649518261008	24.7636340823421	31.4372905912626	31.1061675769445	32.679745080898	31.5554788000626	30.8714929332104	33.0620864718112
ENSG00000001561.7	13.2368679852741	11.9955680136146	14.2832207918975	11.3740658625092	11.8950692412602	12.3192203312703	12.939346832118	14.0502222714618	12.0935977114561	13.1073188346127	13.5071032367585	14.9905416245762	11.1526660340785	10.5461099364618	11.1702386893276	13.7503120687681	11.7827783576249	10.8088360503664	23.896651074111	20.8277769086031	23.3123580626517	21.7665626855091	21.8069325841112	23.2075189519596
