gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000197548.13	ENSG00000197548.13	319.994681631898	-1.07989531519098	0.157760026945101	46.3641664767828	9.81949755268693e-12	7.46983206686541e-09	-1.03175066235371	-240.590765332933	8.84598366108648	17.5424588041046
ENSG00000152377.14	ENSG00000152377.14	192.953991643851	1.16639981196841	0.177698996605335	42.8441869743301	5.92779675062375e-11	3.94568971213393e-08	1.11018206571038	141.264958767974	5.60446920940306	2.51661152633039
ENSG00000288534.1	ENSG00000288534.1	152.872456827505	-1.45323247676709	0.264165635921312	29.6521987613412	5.16939601259982e-08	1.28032715195786e-05	-1.34984804592901	-157.369707113183	1.15674588014452	3.22698651333527
