gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000149948.14	ENSG00000149948.14	1420.19475217208	1.37501705796587	0.0992377422873186	187.505059734428	1.11414343038843e-42	1.30533044304308e-38	1.36083648048588	1285.54479264297	33.7938839894451	14.0505038964979
ENSG00000167767.14	ENSG00000167767.14	1692.75438034093	-1.0552003647378	0.093689105333326	125.001271379112	5.08620921193208e-29	1.98633423756654e-25	-1.03848833132765	-1180.74444402114	18.0258301822316	37.9047007298519
ENSG00000228253.1	ENSG00000228253.1	1773.7049578052	1.1062009823037	0.118392817756363	85.6055756123657	2.19655226670066e-20	6.43370158916625e-17	1.08055549263046	1432.64470868082	4780.69578964222	2093.73509769851
ENSG00000283149.1	ENSG00000283149.1	224.523055224306	1.4805473488634	0.195763055467828	56.2704751322726	6.31567099439708e-14	5.69187702848894e-11	1.42782296702137	181.282773560611	81.5491286931781	33.7932661710986
ENSG00000174151.15	ENSG00000174151.15	347.503249669502	1.11088822098617	0.147918622722633	55.8757312146653	7.71996832093328e-14	6.46051063200388e-11	1.07108223021541	262.950445862381	6.602224452081	3.23553829865189
ENSG00000114455.15	ENSG00000114455.15	233.981908156234	-1.39104212791411	0.197435264601011	48.7513005815771	2.9056580915347e-12	1.36496937079705e-09	-1.33295189291627	-220.301802233752	5.03591810787912	13.8648241724738
ENSG00000069535.14	ENSG00000069535.14	321.018754428869	1.11943568356718	0.16132391165341	47.600345647159	5.2259268157255e-12	2.35488302204e-09	1.07207397293807	210.978027459489	11.6749576848955	5.96694075665873
ENSG00000121895.8	ENSG00000121895.8	170.85986241772	-1.33418271706007	0.20527494059918	41.9192353991379	9.51222690601965e-11	2.93276974818227e-08	-1.26845433398191	-164.23450849759	4.20406636821782	11.4054388109199
ENSG00000213626.13	ENSG00000213626.13	206.212537819141	1.12801390275632	0.177200292969275	40.2776665804076	2.20313162155557e-10	5.61128045177067e-08	1.07085440980406	153.860801793789	6.93991314885772	3.17027549790364
ENSG00000169248.13	ENSG00000169248.13	173.802773169014	-1.23040438538268	0.209574547714902	34.1575920299308	5.08245650073521e-09	8.38676906515685e-07	-1.15544085400973	-150.698881217982	4.83023836034778	12.5949952478068
ENSG00000197594.14	ENSG00000197594.14	121.882744539893	-1.10681298248891	0.224933250250026	24.0694322195076	9.29237476898414e-07	7.85191462124936e-05	-1.00846267959583	-91.9230174578306	0.899301638273165	2.05698879129954
ENSG00000197774.14	ENSG00000197774.14	185.46446565526	1.28352863137861	0.271828758793015	21.7679611827412	3.07695692212674e-06	0.000205997870283639	1.15806463351602	193.52081460434	3.80239318525661	1.37726041317736
ENSG00000162654.9	ENSG00000162654.9	116.757904243876	-1.153185575681	0.257190019655716	19.8407410499428	8.41694338934388e-06	0.00044824049431615	-1.02615222580095	-72.1282959689762	1.2481647322682	2.45282294147012
ENSG00000282885.3	ENSG00000282885.3	2413.57376171415	2.07611998723249	0.462979957016965	18.5968989444287	1.61483019512331e-05	0.000762877038954221	1.8478901200643	2583.62178908218	202.721468369876	45.9569831294763
