baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_id	gene_name	biotype	description2	medianTPM_WT	medianTPM_HET
ENSG00000206195	2125.95007679829	8.36416630908622	0.269284369984542	1666.88710385845	0	0	ENSG00000206195	DUXAP8	lncRNA	double homeobox A pseudogene 8 	0.907104414477519	227.371823320916
ENSG00000222036	1761.31307115717	9.10703474403385	0.342611807617344	1884.09465560995	0	0	ENSG00000222036	POTEM	protein_coding	POTE ankyrin domain family member M 	0.0639233139320048	33.1594772844324
ENSG00000274827	1248.27132594502	10.9563964291	0.738977567585762	1114.82031826924	1.98514694629418e-244	7.19284910207258e-241	ENSG00000274827	LINC01297	lncRNA	long intergenic non-protein coding RNA 1297 	0.0239114073738973	37.8041836720585
ENSG00000101680	1953.6374731457	7.47965504508342	0.238034140489781	1112.74446796327	5.60998653480352e-244	1.52451384083286e-240	ENSG00000101680	LAMA1	protein_coding	laminin subunit alpha 1 	0.32608652252472	46.8837448512959
ENSG00000103187	4088.41739543635	-3.3841770697111	0.100426278951622	987.493348382396	9.39243559483229e-217	2.04191549831654e-213	ENSG00000103187	COTL1	protein_coding	coactosin like F-actin binding protein 1 	279.670738047689	26.1495130906282
ENSG00000140937	883.367183938117	7.7382461440252	0.325498250124231	813.105117451967	7.63486513258738e-179	1.38318306652041e-175	ENSG00000140937	CDH11	protein_coding	cadherin 11 	0.394494953251298	79.2093934307744
ENSG00000183580	771.094554083362	9.85766792479771	0.670018282720768	799.328236821926	7.55291518716471e-176	1.17285982977829e-172	ENSG00000183580	FBXL7	protein_coding	F-box and leucine rich repeat protein 7 	0.015776117375288	22.9267256490584
ENSG00000134909	550.45700990285	11.8797018812219	1.19231031785773	772.828392710188	4.36299959394514e-170	5.92822569827296e-167	ENSG00000134909	ARHGAP32	protein_coding	Rho GTPase activating protein 32 	0	11.3069087910438
ENSG00000151276	1380.48008224496	7.5181203201698	0.288209534910582	766.637328619459	9.68054266007736e-169	1.16919443016712e-165	ENSG00000151276	MAGI1	protein_coding	membrane associated guanylate kinase, WW and PDZ domain containing 1 	0.24939374349029	32.6042333785101
ENSG00000272620	1583.77912975687	7.81414138859344	0.289799236616902	765.769803296578	1.49460234175002e-168	1.62463274548227e-165	ENSG00000272620	AFAP1-AS1	lncRNA	AFAP1 antisense RNA 1 	0.126044287968613	29.1155401184618
