gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000197632.9	90.58649505	-3.328084758	0.3209794926	111.4154926	4.80E-26	7.31E-24	-3.2649098	144.3836382	6.001516747	0.6985983346
ENSG00000189334.9	661.0110838	1.080931171	0.1023539757	110.8224605	6.47E-26	9.76E-24	1.062535909	-484.7363306	32.38184859	69.53871723
ENSG00000164761.9	391.7606892	-1.422765664	0.134575133	110.7786426	6.62E-26	9.88E-24	-1.397585505	364.8899655	20.69694877	7.61373666
ENSG00000170681.7	100.6792843	-2.976561208	0.2868289596	110.146841	9.10E-26	1.34E-23	-2.920677974	160.6986581	3.95334814	0.5196269687
ENSG00000100867.15	457.9703923	-1.22529517	0.1188869878	105.4701419	9.63E-25	1.36E-22	-1.202799004	378.9662523	26.76905781	11.43728971
ENSG00000125255.7	434.4430012	1.429212031	0.1385379799	105.1198609	1.15E-24	1.59E-22	1.403023523	-407.4228854	4.346605585	12.59004669
ENSG00000165757.9	384.4668617	-1.390248965	0.1350194205	104.8944169	1.29E-24	1.76E-22	-1.364356826	322.8904889	3.834571714	1.542456335
ENSG00000240583.14	353.7578981	1.426318365	0.1395700494	103.5906191	2.49E-24	3.38E-22	1.399692407	-308.4749422	4.90938852	13.41677402
ENSG00000129654.8	80.78205422	3.105053521	0.3170381389	101.3169818	7.84E-24	1.03E-21	3.04033395	-129.188692	0.4595491394	3.957806689
ENSG00000237988.6	254.5229011	-1.710128568	0.1715832487	97.91442584	4.37E-23	5.39E-21	-1.675638002	245.0836746	4.394912006	1.449508176
ENSG00000144824.21	320.701075	-1.484844487	0.1496106872	97.33250616	5.86E-23	7.17E-21	-1.454947505	302.5321425	7.122206192	2.406890504
ENSG00000150347.17	580.3087584	1.088292799	0.1116481459	94.36075639	2.63E-22	3.12E-20	1.066460577	-451.5365993	3.313324949	7.285000321
ENSG00000119938.9	556.9889316	1.158134893	0.119710519	92.75333458	5.92E-22	6.91E-20	1.134372262	-382.7718136	9.068203991	19.73368706
ENSG00000149294.17	74.74497315	4.13120144	0.442151901	92.55326937	6.55E-22	7.58E-20	4.032562278	-110.8684487	0.2048269262	2.259366052
ENSG00000113361.13	113.3390762	-3.469669861	0.3583944397	89.3066713	3.38E-21	3.82E-19	-3.392317166	207.0579292	3.880346082	0.2854387509
ENSG00000145431.11	409.853834	1.209142724	0.129727928	86.23949805	1.59E-20	1.74E-18	1.182265719	-330.2569388	5.581846074	12.84620523
ENSG00000213886.4	331.1954968	-1.280132256	0.1425508378	79.98283595	3.78E-19	3.64E-17	-1.248878474	263.6146258	44.49108388	19.96953064
ENSG00000140030.6	53.84644503	3.669492653	0.4351602703	77.94233218	1.06E-18	9.78E-17	3.565945416	-96.36019544	0.11157498	1.509466555
ENSG00000213145.10	148.5195579	-1.760016086	0.2009076914	76.58554005	2.11E-18	1.91E-16	-1.71372756	164.6023823	33.19455721	9.89787272
ENSG00000117983.17	3024.424253	2.269681011	0.2496111784	75.53669551	3.59E-18	3.17E-16	2.214848129	-4014.903515	5.440042819	25.63321355
ENSG00000056558.11	129.501181	-1.820635837	0.224867975	65.26322669	6.55E-16	4.75E-14	-1.764502891	150.2980112	3.044838635	0.8491401562
ENSG00000083454.23	150.4119649	1.732323331	0.2161056328	63.80211329	1.38E-15	9.55E-14	1.678453237	-158.0041412	2.899861572	9.018731683
ENSG00000076356.7	332.4002181	-1.643151115	0.2030343689	63.33010008	1.75E-15	1.19E-13	-1.592427554	419.3562929	3.752282709	1.066724502
ENSG00000244128.9	96.4291627	-2.060057562	0.2592508186	62.83813788	2.24E-15	1.48E-13	-1.993712171	114.8443171	7.314104555	1.949050649
ENSG00000105750.15	75.89547969	-2.801085031	0.3498210148	62.60529203	2.53E-15	1.65E-13	-2.710143491	126.1463107	4.955302375	0.5965920937
ENSG00000162078.12	165.7876323	1.572656084	0.1981995427	62.48307902	2.69E-15	1.74E-13	1.523044093	-158.2319734	9.516159529	29.37423073
ENSG00000092978.11	264.6073299	1.182758809	0.1500577978	61.97836566	3.47E-15	2.21E-13	1.145902843	-202.7775828	2.517893307	5.852348433
ENSG00000196542.9	461.1946612	1.063830465	0.1372346446	59.40925555	1.28E-14	7.53E-13	1.029744233	-315.1462752	11.7249863	24.30677985
ENSG00000167653.5	390.3678208	1.08946577	0.1409376514	59.30585833	1.35E-14	7.84E-13	1.054357049	-307.0731528	22.56039353	51.66506292
ENSG00000124215.17	222.0205131	1.355289568	0.1830673022	54.44427331	1.60E-13	8.09E-12	1.306371625	-182.3501452	2.830749578	6.969852962
ENSG00000134363.12	279.9659549	-1.484764593	0.1987345194	54.3881464	1.65E-13	8.30E-12	-1.430916632	230.2725228	14.3391567	5.760838301
ENSG00000152661.9	46.9510638	2.937479866	0.4087907034	53.99186417	2.01E-13	1.00E-11	2.821748725	-65.88701519	0.2568370236	1.738450137
ENSG00000116574.6	259.9181323	1.110480627	0.151850353	53.30150712	2.86E-13	1.40E-11	1.070215017	-193.7530878	2.641192989	5.977874944
ENSG00000134321.13	253.8759494	-1.211295889	0.1662963867	52.60974577	4.07E-13	1.97E-11	-1.166355938	219.832067	7.319589585	3.122881172
ENSG00000117013.17	225.6283336	-1.213280444	0.1712909534	49.86660527	1.65E-12	7.42E-11	-1.165402277	176.2524665	5.589086271	2.45190619
ENSG00000197548.13	289.1084257	-1.21588205	0.1714746957	49.44234517	2.04E-12	9.08E-11	-1.167555145	247.6683413	17.5424588	7.39548121
ENSG00000286081.2	89.62510348	1.924713936	0.2746096294	49.07291491	2.47E-12	1.08E-10	1.845606465	-105.3843963	0.9452054764	3.889297444
ENSG00000125848.10	458.7556053	1.062183443	0.1506987141	49.06629629	2.47E-12	1.08E-10	1.020924381	-343.856201	3.853583574	9.22604986
ENSG00000176155.21	310.2655032	1.20775613	0.1717929779	48.76181187	2.89E-12	1.25E-10	1.159797301	-264.559429	8.573108564	23.00365152
ENSG00000135960.10	124.9747871	-1.517821394	0.2177249732	48.45826698	3.37E-12	1.44E-10	-1.45476055	117.775858	3.003353069	1.053398064
ENSG00000187554.14	146.4220591	1.563049161	0.2236272423	48.20607538	3.84E-12	1.63E-10	1.498878054	-128.2682097	1.400111959	4.186762203
ENSG00000288534.1	142.7412756	-2.015173531	0.2899191371	46.68203493	8.35E-12	3.40E-10	-1.929456088	188.9515013	3.226986513	0.7739892726
ENSG00000189377.9	41.6121518	2.886201578	0.434197832	46.43501454	9.47E-12	3.81E-10	2.753269835	-60.90587203	0.7685218345	5.769236505
ENSG00000196126.12	129.9180268	1.396391825	0.2113313082	43.61824354	3.99E-11	1.47E-09	1.33243953	-112.2092224	4.430948116	11.44926584
ENSG00000168955.4	44.45646288	2.551942401	0.3978505931	42.10690204	8.64E-11	3.03E-09	2.424662954	-67.57139307	0.3475393314	2.304815423
