gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000258529.5	7.601343453	1.827515123	1.204978873	2.225080699	0.1357855623	2.53E-01	0.1418805586	10.20000563	0.2352421231	0
ENSG00000258539.1	6.127204131	-0.3865623264	1.302626539	0.0878213227	0.7669653818	8.56E-01	-0.02494003822	-2.910596471	0.116828776	0.1695282839
ENSG00000258561.2	8.9684209	-0.924167263	0.7865395634	1.380407259	0.2400317885	3.86E-01	-0.1616039333	-7.705559937	0.3408344407	0.7521958364
ENSG00000258634.3	141.1120883	0.5929640896	0.2090373966	8.023542632	0.004617316468	1.57E-02	0.5035619724	59.69285969	2.683148371	1.681710266
ENSG00000258643.6	160.1880617	0.02642972036	0.2395446418	0.01250719963	0.9109537662	9.45E-01	0.01816944899	-29.48366612	5.147597821	6.301486399
ENSG00000258644.6	29.80628207	-0.3111692127	0.4644298441	0.4508235559	0.5019441201	6.52E-01	-0.1141739148	-9.570443656	2.604865312	3.684980631
ENSG00000258653.3	7.163621069	-3.753388564	1.212445726	10.64002006	0.001106664737	4.55E-03	-2.81169989	-13.71132657	0	0.243945856
ENSG00000258655.2	70.49805262	-0.2792937389	0.2981624717	0.8765971525	0.3491353888	5.06E-01	-0.1669220044	-20.93370209	2.361895762	3.104919906
ENSG00000258659.7	88.83341473	0.004985459645	0.2620842353	0.0010490818	0.9741614102	9.83E-01	0.003457291287	10.77673132	2.981759446	2.778128457
ENSG00000258667.3	41.70965159	0.2435439749	0.5052487536	0.2346594576	0.6280902286	7.56E-01	0.07848679087	12.71848158	2.883724282	1.978427352
ENSG00000258674.5	22.53419989	0.0754338744	0.5174195548	0.02139246683	0.8837148483	9.29E-01	0.02362996269	8.22045859	1.953564651	1.423299443
ENSG00000258677.2	91.38961429	-0.04486971896	0.2446040044	0.03372056386	0.8543024728	9.11E-01	-0.02960208249	-5.439996244	10.84162738	11.72314682
ENSG00000258689.2	15.29877897	0.2597524303	0.6146755648	0.1787115728	0.6724828405	7.90E-01	0.06322862346	0.0483918974	2.024474295	1.926689609
ENSG00000258691.1	13.0047138	0.08762243367	0.6558277824	0.01810714547	0.8929575602	9.35E-01	0.01930135293	-0.428160402	2.419434769	2.648830422
ENSG00000258701.1	13.81863833	0.5635343596	0.6945163887	0.6605296614	0.4163730152	5.74E-01	0.1170311319	5.860192183	0.4218825771	0.2809544799
ENSG00000258708.1	68.5652271	-1.025296078	0.2881734316	12.64483181	0.0003766053495	1.74E-03	-0.8806400616	-43.18854527	1.733962801	3.423854787
ENSG00000258725.2	12.05373375	-9.96E-05	0.6611679272	0.0005320442795	0.9815975587	9.87E-01	0.0003617525091	0.3119024888	0.697943159	0.6320107918
ENSG00000258727.1	38.08519852	0.4734211631	0.4263189769	1.234571308	0.2665198659	4.17E-01	0.206752743	18.17628091	0.9043385196	0.571947592
ENSG00000258728.2	17.55811795	0.5546522056	0.7328856183	0.5746231394	0.4484276301	6.03E-01	0.1031095799	6.580762829	0.392035327	0.2606534334
ENSG00000258738.1	64.27033283	-0.810296215	0.2918223995	7.702940242	0.005513094747	1.83E-02	-0.6415995471	-37.8760382	1.479223068	2.740259225
ENSG00000258744.3	42.56492002	-0.2052013711	0.388094637	0.2793876881	0.5971028287	7.32E-01	-0.09180755861	2.239684343	1.875804572	1.826691059
ENSG00000258768.2	39.91472029	0.1067765986	0.3650334048	0.08555619293	0.7699044345	8.58E-01	0.05074755441	4.035821714	0.7146524541	0.6427119839
ENSG00000258790.1	871.7141613	-0.9956026137	0.1052333234	88.60059678	4.83E-21	1.90E-19	-0.9773102438	-584.9703709	9.893967326	20.5250516
ENSG00000258818.4	155.9442268	-1.872849934	0.2394757418	59.88586841	1.01E-14	2.25E-13	-1.813361285	-199.0057572	3.415429523	12.90416547
ENSG00000258824.2	9.719671599	-0.6233864569	0.7599446691	0.6700418579	0.4130370138	5.71E-01	-0.1099961853	-2.653847834	1.953616098	2.566381576
ENSG00000258839.4	111.897907	0.3990924857	0.2665936987	2.240444749	0.134442306	2.51E-01	0.2749237216	58.38026435	4.199640286	2.508372688
ENSG00000258890.8	468.741975	0.267366808	0.1270144959	4.430966834	0.03529251074	8.66E-02	0.2412252471	51.8917417	18.74566594	17.08451328
ENSG00000258920.1	29.57490444	-0.9969526296	0.4446430003	5.011787225	0.02517530389	6.54E-02	-0.5989274217	-21.80817652	1.446905192	3.200036665
ENSG00000258940.2	10.25393001	-1.223608672	0.7602532779	2.578868192	0.1082990732	2.13E-01	-0.2496840157	-11.35529565	0.3390568786	1.090508845
ENSG00000258947.8	620.9283624	-0.1390172736	0.1220873995	1.295904489	0.2549626732	4.04E-01	-0.124225536	-32.12257046	25.59184126	27.99141972
ENSG00000258964.1	10.40811569	-0.8268952168	2.364748514	0.1207434658	0.7282295357	8.29E-01	-0.01650353713	-11.27341126	8.19E-05	1.571206706
ENSG00000259024.7	210.3500292	0.4408430167	0.1810310831	5.913727415	0.01502335108	4.26E-02	0.3759734536	81.82273217	6.969088531	4.93079641
ENSG00000259030.8	14.03369024	0.8624891967	1.781200464	0.2297085658	0.6317400068	7.59E-01	0.03085340901	10.19213539	1.709908362	0.1741013166
ENSG00000259075.6	94.1773345	-0.9949864529	0.2916510299	11.53976138	0.0006812338317	2.96E-03	-0.8429678298	-52.45039937	1.006166919	1.729854797
ENSG00000259112.2	50.62446001	-0.6578585338	0.3493056657	3.548978316	0.05958212616	1.33E-01	-0.4108707901	-14.27008231	6.94795136	9.631129643
ENSG00000259120.3	39.66239706	0.8088118337	0.3716160183	4.724770425	0.02973115197	7.52E-02	0.5271214746	23.99649748	4.639885585	2.58115537
ENSG00000259129.6	60.86110905	-1.252384582	0.4650455304	7.007888254	0.008115134492	2.54E-02	-0.861202477	-65.12577438	1.316463779	4.22136559
ENSG00000259153.4	75.99960609	-0.23172183	0.2968509494	0.6085913975	0.4353186673	5.90E-01	-0.1367913416	2.41142607	5.178237903	4.959546895
ENSG00000259171.1	26.82664325	-2.059297397	1.445704195	1.892184243	0.1689557663	2.98E-01	-0.1021836077	-43.07933275	0.6556421882	2.796685968
ENSG00000259172.1	21.20540506	0.2138334769	0.7077232415	0.09122889791	0.7626206413	8.52E-01	0.04164536388	-2.746694182	0.6116868687	0.6713271106
ENSG00000259185.1	22.40096261	2.319780474	0.6837422949	11.06169554	0.0008812951456	3.72E-03	1.845056096	27.42127247	9.962806999	2.826133834
ENSG00000259207.10	32.82528853	-0.1497131574	0.4729291551	0.1008243754	0.7508425852	8.45E-01	-0.05171763388	7.654700263	0.4488965363	0.3526872103
ENSG00000259230.1	14.03089542	-1.408822096	0.6543575355	4.641999381	0.03119863445	7.83E-02	-0.5362631057	-11.97511292	0.3233895817	0.8992879833
ENSG00000259248.7	54.97892764	-0.2555838786	0.4119559315	0.3880293831	0.5333370646	6.80E-01	-0.1071635379	-19.79054195	1.852713203	2.698303476
ENSG00000259250.1	21.72755811	-0.07448625801	0.5288572007	0.01987546429	0.8878854511	9.32E-01	-0.02175542848	3.895534008	5.439775652	4.324152035
ENSG00000259275.5	14.08156798	0.07363231348	0.6608803411	0.01256012998	0.9107663296	9.45E-01	0.0161052128	-2.242501319	0.6859153419	0.8315995569
ENSG00000259291.2	72.29186667	0.3651809175	0.2824000831	1.670716427	0.1961626024	3.33E-01	0.2369601348	22.43882396	2.779183032	2.028987351
ENSG00000259305.6	35.74750156	-0.4179786503	0.419344493	0.9943961129	0.3186702945	4.74E-01	-0.1814302109	-17.4010984	2.498997117	3.842428749
ENSG00000259316.12	385.4034902	0.4308312197	0.1568215623	7.526778217	0.006078852171	1.99E-02	0.3819798489	139.1554709	139.3848024	98.82671704
ENSG00000259330.3	484.5027724	-0.3064084639	0.1165459038	6.911727318	0.008563222698	2.65E-02	-0.2821105424	-98.74463537	9.810261947	12.22515015
ENSG00000259332.3	158.9491453	0.2505686898	0.2539488895	0.9722821512	0.3241116758	4.80E-01	0.1690390194	27.00617933	24.81087202	20.1320085
ENSG00000259341.2	137.2827764	-0.2404673457	0.762554784	0.09923161605	0.7527536805	8.46E-01	-0.04004581116	-36.47830558	0.5242846667	0.8414781055
ENSG00000259342.1	13.07288057	0.8342956921	0.638563294	1.703774552	0.1917950869	3.28E-01	0.215589419	6.363325807	2.056674603	1.273699134
ENSG00000259343.9	45.21531919	1.606753309	0.418109177	14.4064593	0.000147296201	7.51E-04	1.380422383	46.43721944	4.077875939	1.548406671
ENSG00000259347.9	10.99390469	0.8056451859	0.7611321857	1.115243448	0.2909449729	4.45E-01	0.1454189691	1.788494916	0.3284871545	0.2630226798
ENSG00000259354.5	32.36978081	0.8914011578	0.4492684668	3.922070611	0.0476561494	1.11E-01	0.4783396438	23.81564293	3.99441937	1.844895445
ENSG00000259366.3	25.63765274	-0.03734309324	0.4640665511	0.006850651985	0.9340354849	9.60E-01	-0.01281092419	-2.593376999	1.428090961	1.621408073
ENSG00000259399.1	10.99096259	-0.05298801413	0.9455230932	0.003179252058	0.9550352204	9.73E-01	-0.005841241961	0.750991115	1.092182569	0.958201562
ENSG00000259426.6	26.60671786	0.2371469307	0.4787769566	0.2449780194	0.6206336204	7.50E-01	0.08258512043	-2.202966893	2.063576366	2.176759674
ENSG00000259431.6	136.8532171	-0.3958547636	0.2354439166	2.822106142	0.09297433361	1.89E-01	-0.2946585288	-13.92092597	6.659367366	7.14814256
ENSG00000259439.3	42.13776002	0.1632442661	0.3979708688	0.1684867859	0.6814601652	7.97E-01	0.07120586246	4.058443209	1.664106978	1.580552645
ENSG00000259456.4	26.91588011	-0.009829848155	0.4644744593	0.0004875306178	0.9823840641	9.87E-01	-0.002996014766	-1.584025765	1.975521774	2.188617586
ENSG00000259485.2	62.23277295	-0.09381077757	0.3121561696	0.09039081564	0.7636809012	8.53E-01	-0.05148004388	-14.18702075	5.131241463	6.292739237
ENSG00000259494.2	1654.589574	0.161298898	0.09047682447	3.176671406	0.07469675108	1.58E-01	0.1518596153	146.1986775	146.3205387	134.785501
ENSG00000259495.3	31.69403284	0.5487153097	0.4246496372	1.66501525	0.196927533	3.34E-01	0.2486501106	10.14391354	0.5048079304	0.3800158623
ENSG00000259498.1	16.19839379	-1.641120328	0.6325711989	6.80475353	0.009091550259	2.78E-02	-1.005654908	-13.40388402	0.3297335881	0.8237653869
ENSG00000259522.3	17.37917152	-2.358106366	2.042974886	1.214303102	0.2704815749	4.22E-01	-0.0557245949	-25.82346696	0	0.3887578649
ENSG00000259523.1	11.35340647	-0.4703964889	0.7015539168	0.4509861231	0.5018670319	6.52E-01	-0.09393145218	-0.8209347585	0.5009809628	0.5340489402
ENSG00000259529.2	82.71544192	0.2988352631	0.2678158815	1.24487061	0.264534429	4.15E-01	0.1970905459	22.36726472	1.059368727	0.832168048
ENSG00000259577.2	15.86001695	-0.08252149919	0.5691520189	0.02102288696	0.8847166248	9.30E-01	-0.02180350918	0.24126861	0.522538241	0.5458999668
ENSG00000259583.4	301.7555219	-0.09072261482	0.1969477436	0.212773157	0.6446024608	7.68E-01	-0.06828539219	29.81941795	6.012605369	5.529116875
