baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionko	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBti0019115	237.365468268965	5.0004877463106	0.350329578804971	186.770273320273	1.61191333056326e-42	9.48234881926014e-40	2.26116653093991	0.0835186210609573	FBti0019115		transposable_element	NA
FBti0019129	415.937656316361	3.4115627207254	0.237966450145252	183.150489079559	9.94427032518297e-42	4.61832849207445e-39	5.55722255898757	0.706364910327039	FBti0019129		transposable_element	NA
FBti0019307	415.937656316361	3.4115627207254	0.237966450145252	183.150489079559	9.94427032518297e-42	4.61832849207445e-39	5.55722255898757	0.706364910327039	FBti0019307		transposable_element	NA
FBti0019387	415.937656316361	3.4115627207254	0.237966450145252	183.150489079559	9.94427032518297e-42	4.61832849207445e-39	5.55722255898757	0.706364910327039	FBti0019387		transposable_element	NA
FBti0019467	415.937656316361	3.4115627207254	0.237966450145252	183.150489079559	9.94427032518297e-42	4.61832849207445e-39	5.55722255898757	0.706364910327039	FBti0019467		transposable_element	NA
FBti0019373	99.1722031427554	-9.85973325486547	1.22241478797448	182.039918412571	1.7379485590672e-41	7.66782904260449e-39	0	2.72826199315295	FBti0019373		transposable_element	NA
FBgn0028533	6694.27981341847	-4.63005585580407	0.296653407439461	181.838543288835	1.92310387233678e-41	8.08069931880941e-39	23.8269730727096	868.663574025919	FBgn0028533		protein_coding	34801
FBgn0036597	811.840533385682	2.52871299556934	0.181678807621374	177.734576834102	1.51380895622163e-40	6.07175010440894e-38	94.556283331424	23.2818115782929	FBgn0036597		protein_coding	39793
FBti0019364	466.201677644641	12.5206801887625	1.27166539776815	173.781886873351	1.10462899361462e-39	4.23793314767627e-37	8.30985461775618	0	FBti0019364		transposable_element	NA
FBgn0039769	1415.91615675173	6.01250199784505	0.384873947220823	168.949371634705	1.25498423855424e-38	4.61415871708442e-36	49.023983172533	0.870849561670041	FBgn0039769		protein_coding	43613
FBgn0027073	239.501188652397	2.62409387845644	0.198782633001801	168.83085813259	1.33205996178852e-38	4.70163884112877e-36	9.90066940633842	2.3086100516199	FBgn0027073	UDP-glycosyltransferase family 49 member B1	protein_coding	37420
FBgn0034440	4081.44771661268	9.83246899004492	0.576185690796203	163.787188908558	1.6836493563234e-37	5.71404689238373e-35	110.850350460917	0.190254716894034	FBgn0034440		protein_coding	37225
FBgn0040099	252.301184527713	-3.01341512432373	0.235567717991692	157.097389310577	4.87381575200114e-36	1.59283519243178e-33	2.58311051325895	27.6132555866638	FBgn0040099	lectin-28C	protein_coding	53542
FBgn0033733	153.557450876672	7.47756612252779	0.70850637192569	152.030415900063	6.23991042493418e-35	1.96646319962926e-32	7.54574381626619	0.0819324324022185	FBgn0033733		protein_coding	36356
FBgn0029969	1526.37596402198	1.83790047228848	0.147516537258816	147.172932880445	7.19328689540932e-34	2.18874357121006e-31	72.941229136078	28.2058130164626	FBgn0029969	Acetyl-CoA acetyltransferase 1	protein_coding	31695
FBgn0036766	1198.86368465117	2.0930890603753	0.16726382637632	146.415528019506	1.05317706128347e-33	3.09774479625511e-31	164.527961075152	56.9276769015496	FBgn0036766		protein_coding	39992
FBgn0033395	54.1100213531422	7.55127593154534	1.0748874810967	141.172537466722	1.4750755651738e-32	4.19873122164311e-30	2.84283044084781	0.0282951487484123	FBgn0033395	Cytochrome P450 4p2	protein_coding	35946
FBti0019666	49.2817235883396	9.28118498713681	1.23146356858276	139.613188165395	3.23445682960353e-32	8.91901470763174e-30	4.68161354294087	0	FBti0019666		transposable_element	NA
RR48391_transposable_element	161.827629619817	-10.5655873433335	1.2673055740313	130.481532852511	3.21509469077632e-30	8.5969683489122e-28	1.59976551834256e-09	2.86987759348957	RR48391_transposable_element		transposable_element	NA
FBgn0052571	1794.60480417803	2.10253685852737	0.180611373771406	125.935348605374	3.17665548482894e-29	8.24435529356782e-27	108.542223393394	31.8707312286259	FBgn0052571	TweedleX	protein_coding	318094
FBgn0004782	90.6776242173857	4.93683876725905	0.463518449660186	120.789851479694	4.24832704891672e-28	1.07106393941832e-25	13.3209825336415	0.531052530646076	FBgn0004782	Ccp84Ab	protein_coding	40824
FBgn0039779	94.6090745729597	3.77847038233914	0.347978798221624	119.789307107336	7.03494547392945e-28	1.72434330172093e-25	4.85411475686611	0.555214653891221	FBgn0039779	prolyl-4-hydroxylase-alpha SG2	protein_coding	43623
FBgn0035006	2011.51092304298	2.03755073908717	0.180297260960576	119.055586877002	1.01835390740195e-27	2.42863645376076e-25	87.6909526775322	27.9483177384603	FBgn0035006		protein_coding	37901
FBgn0086611	330.31482649088	8.00748666940478	0.696604627730846	118.329315724823	1.46863449259788e-27	3.41032388491675e-25	57.0095982958223	0.394194357652035	FBgn0086611	Larval cuticle protein	protein_coding	59159
FBgn0033820	737.009115333893	4.98058077355418	0.400189779188019	116.738896321561	3.27460782601096e-27	7.40901011710786e-25	103.542314255315	4.08921737889434	FBgn0033820		protein_coding	36471
FBgn0033600	1851.3295806257	3.93982886011722	0.328334776551427	115.063358321431	7.62228255350793e-27	1.68147553130385e-24	277.875742552904	24.5060764880218	FBgn0033600	Cuticular protein 47Ec	protein_coding	36191
FBgn0020645	198.142120358675	3.21849339238171	0.289630385263226	113.611107769293	1.58543742916076e-26	3.41217070119868e-24	62.8836851195454	8.10873318348488	FBgn0020645	Lcp65Aa	protein_coding	38709
FBgn0052667	530.35161368016	2.61835406554673	0.235891391460884	112.16551108657	3.28692616952798e-26	6.9056753618845e-24	295.30000065577	65.7793294332049	FBgn0052667	short spindle 7	protein_coding	318146
FBgn0034710	2474.91055102381	-4.70378093964067	0.387155488050584	110.107620416455	9.28125921971388e-26	1.90460072918035e-23	3.8444803713957	159.583851207882	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBgn0020644	63113.5776552414	2.72096296174387	0.244976676542502	108.530941802896	2.05615274145505e-25	4.12352086149986e-23	24138.0702767402	5917.94001053394	FBgn0020644	Lcp65Ab1	protein_coding	48382
FBgn0053966	234.623855190686	2.20797086778135	0.20823791714436	108.418197218074	2.17650296060087e-25	4.26788047207602e-23	15.1044090598814	5.44281545306828	FBgn0053966		protein_coding	3885642
FBgn0033942	263.265827877603	2.82099201104358	0.260171909794477	108.324214977872	2.28219230585449e-25	4.37784019714349e-23	42.8047333434179	8.90064935393348	FBgn0033942	Cuticular protein 51A	protein_coding	36613
