baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh1M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0004427	41093.0468204207	13.0230312840232	0.319908464994795	1376.34531756566	2.90183744081787e-301	2.56290282773035e-297	14686.4041310728	2.08158272776842	FBgn0004427	Lysozyme D	protein_coding	38127
FBgn0004425	60091.5120302394	6.89011314583216	0.194395007914851	759.103151413761	4.20789112072448e-167	1.85820471891193e-163	20462.2901097069	223.320729797439	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0037386	3430.60252973743	6.38458362803274	0.198774977922864	745.683603542377	3.48293332868424e-164	1.02537557196464e-160	148.481393169066	2.39866476655674	FBgn0037386		protein_coding	40727
FBgn0051683	917.053443311795	13.5037045241536	1.19680983132113	723.004239830964	2.97437105693738e-159	6.56741129371773e-156	58.077519695223	0	FBgn0051683		protein_coding	261623
FBgn0034005	1266.30764535588	6.85663588050439	0.249668322026088	687.812191386508	1.33676891719323e-151	2.36126861533012e-148	32.8864711632497	0.399856848884426	FBgn0034005	Integrin alphaPS4 subunit	protein_coding	36693
FBti0102102	2511.8177842067	7.01254371707557	0.247353701987119	587.290563778436	9.73310978618648e-130	1.43271376052665e-126	20.0678873420544	0.141982785000166	FBti0102102		transposable_element	NA
FBgn0036833	9685.28308890778	6.90834939665269	0.248626227767746	481.750595244888	8.88831599089122e-107	1.12145152616502e-103	761.694027575621	7.93810096464049	FBgn0036833		protein_coding	40069
FBgn0034365	270.213183101128	-10.3410549446473	1.19780267271228	431.969875852378	6.0554578698383e-96	6.68522548830148e-93	0	28.6870653440948	FBgn0034365		protein_coding	37140
FBgn0003886	5907.42049493949	5.1452012300436	0.211749295491087	426.220421254052	1.08024281686702e-94	1.06007828428551e-91	353.662324753733	12.0319138610122	FBgn0003886	alpha-Tubulin at 85E	protein_coding	41183
FBgn0283437	12781.3041579028	2.38152887551459	0.110278357350749	423.020783261631	5.36960829646632e-94	4.74243804743906e-91	459.004028527616	105.004229398975	FBgn0283437	Prophenoloxidase 1	protein_coding	37044
FBgn0037975	1163.72094906058	-13.4070703428678	1.21783430540507	396.180026342392	3.73684221621229e-88	3.00034458668972e-85	0	120.7227193606	FBgn0037975		protein_coding	41454
FBgn0002533	56224.7821053143	3.35006810903018	0.170958817376599	320.135084303566	1.35355832335928e-71	9.96218925992428e-69	13874.6490407737	1557.91246809688	FBgn0002533	Larval cuticle protein 2	protein_coding	35818
FBgn0037477	197.648692890167	8.08131823051223	0.696857347561917	308.726691689494	4.13626303589962e-69	2.81011347177427e-66	63.6408537295451	0.329563947506202	FBgn0037477		protein_coding	40856
FBgn0034710	2470.45997203547	-4.74884465829394	0.240993123656767	297.371131922855	1.2317468372871e-66	7.77056290494262e-64	5.31336593256811	159.583851207882	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBgn0052475	162.664562206948	-10.5689983273249	1.20551956427324	296.983023017365	1.49651111827745e-66	8.81145746441761e-64	0	6.22966124986724	FBgn0052475	methuselah-like 8	protein_coding	38013
FBgn0034880	263.210642201729	4.27772166154414	0.250990789430319	284.317988195925	8.60313843594003e-64	4.7489324166389e-61	7.58600704303128	0.504803235502817	FBgn0034880	Integrin alphaPS5 subunit	protein_coding	37732
