baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0037975	879.85842728843	-13.2485160970773	1.23502356182614	289.884202775649	5.26971950186642e-65	4.25582546970732e-61	0	86.6001604097444	FBgn0037975		protein_coding	41454
FBgn0033327	10908.0291100185	-8.62870001030955	0.372228602652473	288.082038575037	1.30156976868137e-64	5.25573872593537e-61	4.24315216370115	1553.01301537509	FBgn0033327	Peptidoglycan recognition protein SC1b	protein_coding	35861
FBgn0051683	440.574604463513	12.2010201858174	1.2271405542187	277.284732106861	2.9329873107174e-62	7.89560184045123e-59	25.9444565877078	0	FBgn0051683		protein_coding	261623
FBgn0053503	820.306589182356	-13.1472240109105	1.2396415700342	268.105505532664	2.93637389772598e-60	5.92853889950876e-57	0	44.6103947803616	FBgn0053503	Cytochrome P450 12d1 distal	protein_coding	2768720
FBgn0034899	6228.40431091085	9.45659865220214	0.474081979693364	225.025497736237	7.24851806948917e-51	1.17078063858389e-47	1502.36613756889	1.95192078372408	FBgn0034899		protein_coding	37758
FBgn0052581	179.399039585734	-10.9548804191418	1.22906053532036	213.582213348192	2.27174227986737e-48	3.05776510870148e-45	0	14.3830671911734	FBgn0052581	suppression of retinal degeneration disease 1 upon overexpression 2	protein_coding	318098
FBti0102102	1665.95990801397	6.64760021890623	0.389676654342288	198.472532034632	4.49951638176589e-45	5.19115632844876e-42	11.7047880983966	0.125425398046543	FBti0102102		transposable_element	NA
FBgn0036108	901.487773363508	-7.40548212444458	0.474679186573834	178.158928540377	1.22295956290034e-40	1.2345776787479e-37	1.56068078863178	233.86328376796	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBgn0004425	59170.1222353835	5.12833914333196	0.324381879050969	176.246408596211	3.19910466496922e-40	2.87066325269905e-37	19497.0700873664	542.602281667895	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0034366	122.559995545458	10.3563684135913	1.2380836859949	167.388816833361	2.75106105749155e-38	2.22175691003017e-35	4.80064395986353	0	FBgn0034366	Autophagy-related 7	protein_coding	37141
FBgn0034365	378.928256926962	11.983880751148	1.26794789636816	165.81607663068	6.06795604435954e-38	4.45498300129524e-35	24.0224639303757	0	FBgn0034365		protein_coding	37140
FBgn0028533	10685.8530911045	5.5112259814111	0.356787891823375	163.31517779353	2.13484727398672e-37	1.43675221539306e-34	1212.21057210731	23.8269730727096	FBgn0028533		protein_coding	34801
FBti0019364	407.86363000952	-12.1395603916281	1.2731101352005	162.232545304361	3.68031106950364e-37	2.28632247671626e-34	0	8.30985461775618	FBti0019364		transposable_element	NA
FBgn0034441	404.35502064323	-9.31043252031129	0.858428232229553	158.514636599968	2.38886460724822e-36	1.37803361200976e-33	0.031738900195437	15.7083440842697	FBgn0034441		protein_coding	37226
FBti0019144	415.538332568728	8.74042181064011	0.778517465871898	131.917295971848	1.55984103303568e-30	8.39818412186408e-28	5.57804741284281	0.00549671081255158	FBti0019144		transposable_element	NA
FBgn0259998	22467.4590732143	3.95249794715819	0.311226440918876	127.254485716145	1.63416092027251e-29	8.24842724507551e-27	2736.89572256053	141.252097809811	FBgn0259998		protein_coding	35409
FBti0019609	103.835238145839	-10.1636171924627	1.27018309306293	117.867583361843	1.85358631847529e-27	8.80562535765085e-25	0	7.5651906831009	FBti0019609		transposable_element	NA
FBgn0038144	158.292730195565	6.54369278457502	0.624745949054354	115.636023081918	5.71047651791665e-27	2.56210046437194e-24	8.85949644988454	0.109019911945263	FBgn0038144		protein_coding	41645
FBgn0259818	980.330543468954	5.22883880665632	0.426883669831229	110.069825339048	9.45991539678655e-26	4.02096193391832e-23	12.7560087479029	0.424106455802187	FBgn0259818		protein_coding	33176
