baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0033205	495.191034190696	2.98148334168376	0.314730184999926	79.3021069291275	5.33028335446322e-19	1.24550954382624e-16	46.5115780260344	4.59379086180749	FBgn0033205	Retinol dehydrogenase 1	protein_coding	35708
FBgn0050360	2534.01388853272	-3.86633199767219	0.392785935080398	77.4758844272078	1.34352891510706e-18	3.04704454835016e-16	9.91000134709485	114.117507787621	FBgn0050360	Maltase A6	protein_coding	246565
FBgn0029710	434.465422652422	1.97921204690111	0.224143862367724	74.0661854485603	7.55413121843886e-18	1.66428302358235e-15	23.8098485282738	5.20861698760164	FBgn0029710		protein_coding	31383
FBgn0037930	336.401761407227	4.19912350248324	0.442850585463754	73.434719619251	1.04020167403036e-17	2.22805419679113e-15	67.7684591522813	3.99396325767247	FBgn0037930		protein_coding	41403
RR48348_transposable_element	2138.35784328384	3.20837456378258	0.348245603189495	72.0743632788647	2.0723869292972e-17	4.31896638157046e-15	48.5997403349136	3.15357740679676	RR48348_transposable_element		transposable_element	NA
FBgn0034480	96.6554582926648	-4.46101811048402	0.509388201843816	70.3742930485006	4.90550254399708e-17	9.69905900429781e-15	0.356226849726529	8.47493997785972	FBgn0034480		protein_coding	37276
FBgn0043575	6487.37717821913	-3.35212627809837	0.365004728347967	70.3981912236208	4.84643413228134e-17	9.69905900429781e-15	118.884383595064	968.310379350993	FBgn0043575	Peptidoglycan recognition protein SC2	protein_coding	35862
FBgn0013772	102.416759666184	4.56880132615171	0.524847201667783	69.6775971420786	6.98347895896378e-17	1.34624015631424e-14	6.12053753596939	0.223735981810968	FBgn0013772	Cytochrome P450 6a8	protein_coding	36666
FBti0020108	181.292173731122	10.887750625517	1.39160038298436	68.1256287210665	1.53403810977949e-16	2.88511411329504e-14	2.54673594646845	6.16106864432212e-09	FBti0020108		transposable_element	NA
FBgn0053508	40.6565222690132	-5.15633477836929	0.688314119234245	67.5750167228337	2.02821375081086e-16	3.72370386488156e-14	0.116543463067166	2.73395453717324	FBgn0053508	pickpocket 13	protein_coding	3346226
FBgn0036194	1371.6910670198	1.51713473746119	0.182593522797838	66.3860866753543	3.70709578373119e-16	6.64777106705842e-14	70.9889902693955	20.4645691242259	FBgn0036194	Diphthamide biosynthesis 1	protein_coding	39317
FBgn0039321	735.405800529946	-3.17566450040097	0.362302925214591	66.0834846110812	4.32222291061247e-16	7.4063690808295e-14	6.04266466290848	43.9733104913729	FBgn0039321		protein_coding	43061
FBgn0042173	371.812196617752	-3.90198711863314	0.435046290099104	66.1196898650242	4.24355374534376e-16	7.4063690808295e-14	2.60251445504307	32.1247091569932	FBgn0042173		protein_coding	246511
FBgn0052581	225.12999942157	-2.18842943991725	0.263937149957067	65.1947002445263	6.7851759339811e-16	1.13740199188974e-13	3.64333903641619	14.3830671911734	FBgn0052581	suppression of retinal degeneration disease 1 upon overexpression 2	protein_coding	318098
FBgn0031470	132.240718702603	2.25607564497067	0.281910350828444	62.1241400370963	3.22474024726409e-15	5.29063235035178e-13	13.2540475708683	2.08546553364338	FBgn0031470		protein_coding	33483
FBgn0037974	796.452019699705	4.24245746456932	0.487872018577818	59.1964132390577	1.42693694159498e-14	2.26882264562091e-12	88.2862275048464	3.75250438769881	FBgn0037974		protein_coding	41453
FBti0019425	1201.5847089798	2.31861936388545	0.288142943857878	59.1761091446056	1.44173660530962e-14	2.26882264562091e-12	23.010497860934	3.22354001485556	FBti0019425		transposable_element	NA
FBgn0033733	146.108679914759	-3.90867568991997	0.475288962326562	58.5256879555834	2.00653919168977e-14	3.09448474142397e-12	0.502928225260975	7.54574381626619	FBgn0033733		protein_coding	36356
FBti0019522	459.473344875075	-4.61345024610002	0.539650253682756	56.4379586544083	5.7999821441822e-14	8.76934555172332e-12	0.371119460845777	7.84748825212406	FBti0019522		transposable_element	NA
FBgn0040099	540.366224668685	4.36342250449661	0.531163495802467	52.613518441762	4.06084405157414e-13	6.02176316955542e-11	51.3675354596498	2.58311051325895	FBgn0040099	lectin-28C	protein_coding	53542
FBgn0035887	28371.291271722	-2.34057234005965	0.307446476045094	52.5481042633218	4.19837812890776e-13	6.1082441041524e-11	961.288792702317	3394.61366408606	FBgn0035887	Jonah 66Cii	protein_coding	38953
FBgn0029848	415.863032111625	-2.49376252384471	0.33007478391484	52.0752094880022	5.34150476067565e-13	7.62747096473517e-11	4.00722618124499	18.6516915695383	FBgn0029848	Biotinidase	protein_coding	31552
FBti0019466	256.89884153439	3.44696806280659	0.445421962387647	51.5164308295536	7.10003858675537e-13	9.95425409863103e-11	3.55242830702596	0.275846823674928	FBti0019466		transposable_element	NA
