baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	441.946956624299	-0.943327136050319	0.571976142977793	2.6742389201102	0.10198407036738	0.247721558936538
FBgn0000014	1111.90086954967	-1.03084800420254	0.407784003115708	6.26041320112586	0.0123465403827115	0.0556251048093438
FBgn0000015	275.46992106934	-0.728922300593723	0.34144072853241	4.51940317705058	0.0335125199282034	0.116667095681004
FBgn0000017	1387.57492073688	-0.696113125154358	0.35761483403233	3.75325571589264	0.052704759214837	0.161625383978881
FBgn0000018	220.953034515784	0.07155916150213	0.288492174938569	0.061554319599864	0.804055929173224	0.88400230011646
FBgn0000024	611.070298792578	-0.457990301876496	0.32096239739934	2.02729865088953	0.154494999536	0.32231690206508
FBgn0000032	616.36483709914	-0.197033359738031	0.235635087804465	0.698964024509948	0.40313201610628	0.58508022214191
FBgn0000042	82443.6988407003	-0.0935245410648171	0.414846630564309	0.0508173315030263	0.821647110601355	0.894518126837208
FBgn0000043	10647.961552732	-0.602127356074955	0.252365702525853	5.65197098976067	0.0174357640206153	0.0724940337863892
FBgn0000046	12781.9006556667	0.139431765632724	0.363238176673006	0.147283520812749	0.701144958010994	0.815096952748257
FBgn0000057	771.987927937108	-0.000714715016910054	0.283253302163807	9.54148561049806e-06	0.997535394741917	0.998421326168743
FBgn0000061	170.953307198099	-0.427234515814238	0.390576591115521	1.1930778763425	0.274709590210878	0.463008450438152
FBgn0000063	103.755531620297	-0.189378800792137	0.347242300069911	0.297726531018156	0.585311204388314	0.737285710155084
FBgn0000077	145.393113223848	0.168548311414447	0.295769154979056	0.324692589309812	0.568801124207055	0.723178403501467
FBgn0000083	7136.1684296333	0.29203249495954	0.320981521899936	0.826353322177454	0.363329127917573	0.547482247547027
FBgn0000084	975.54550689302	-0.263973820971339	0.296188405468927	0.793361236856285	0.373085692567105	0.556050645089456
FBgn0000100	28933.2694187392	0.550697838982873	0.223761443068753	6.0206539369358	0.0141394066348605	0.0619559100865332
FBgn0000109	231.19600203576	-0.142171020248401	0.288238192875512	0.243178583135581	0.621919741539822	0.763097234657728
FBgn0000114	1091.89225118323	0.584157659100609	0.306292834006147	3.61494041362613	0.0572627730208579	0.171081371247501
FBgn0000115	742.591491065621	0.640298735494496	0.316263107246995	4.06788397305249	0.0437059924417172	0.142490283287662
FBgn0000117	7058.16382188719	-0.465911687749065	0.210746612464955	4.86667335745938	0.0273802331625338	0.100220646018436
FBgn0000119	1422.26102273046	-0.642817972853578	0.365998628250295	3.05988672563537	0.0802472633458679	0.212936817211623
FBgn0000139	501.717548495086	0.0114197829165353	0.26323008789483	0.00192536977820623	0.965000826252246	0.980513075618585
FBgn0000140	492.016889670418	-0.295951544880281	0.344752174448275	0.735796922227863	0.391010609390771	0.5739279263763
FBgn0000147	200.758199240149	0.472888108719698	0.360015743019768	1.72107567485857	0.189554640865462	0.366140891249821
FBgn0000150	7652.57431048003	0.269156707886247	0.236218219113172	1.29650061677717	0.254853416898186	0.442337795313041
FBgn0000152	591.430982076252	-0.157563217641079	0.258589548206275	0.370932655344816	0.542496329501395	0.702590812060675
FBgn0000157	287.786958147863	-0.917271927259418	0.366625034802795	6.16325786407587	0.0130430763967997	0.0581752801900439
FBgn0000163	1054.24397686011	-0.1461257526629	0.369696062467409	0.156121792795417	0.692752481868126	0.810155378641199
FBgn0000173	3022.25059013563	-0.115909429622887	0.360080143362605	0.103592627885845	0.747560206976654	0.846535034493569
FBgn0000179	340.621423827823	-0.654879697224606	0.347795444421967	3.51807922969476	0.060702758540754	0.178030597243832
FBgn0000181	6843.6596518471	0.678080600358229	0.341979547522405	3.89614599729236	0.0483970101969393	0.152557750788268
FBgn0000182	225.327213082522	0.485518007814742	0.475352659316118	1.0398889056561	0.307847310919114	0.496957948016342
FBgn0000183	1188.15887419374	0.100778377325367	0.278834636704452	0.13060748389681	0.717803008536834	0.826868965250485
FBgn0000212	2204.7843876257	-0.780564385037853	0.363681893560758	4.55197009477236	0.0328808925065557	0.115130698441723
FBgn0000221	144.266859163385	-0.0896746119676797	0.343632148325017	0.0680612189992615	0.794180844176198	0.877310925543736
FBgn0000228	730.605136257532	-0.616057842113742	0.330469251390434	3.44859029756026	0.0633057416582992	0.182133027121533
FBgn0000229	423.9799745963	0.121594254492716	0.375535186315259	0.104819383811247	0.746121090892951	0.845790796066479
FBgn0000239	1814.76330596189	-0.216570716720142	0.207892804008006	1.08418838704875	0.297762471186793	0.487258139673906
FBgn0000247	1028.8806397045	-0.114406441187146	0.351877111345375	0.105670599409635	0.745127983501799	0.845669840581567
FBgn0000250	2019.80899961949	-0.560644461460552	0.355144555739273	2.4765937995579	0.115552257642836	0.267047100200497
FBgn0000251	826.376805033571	0.50858487365846	0.329155725157371	2.37561197294382	0.12324329307785	0.278588388676112
FBgn0000253	5098.10571697553	0.42777758260189	0.233409170232599	3.34670633068954	0.067339626993713	0.189995549845686
FBgn0000256	1441.26679580073	0.0881993182063664	0.292569605621034	0.090872901083273	0.763070361963335	0.857530312568588
FBgn0000257	526.668093353651	0.319900807479103	0.240758422102381	1.76183423362117	0.184395894153952	0.359912540572164
FBgn0000259	1261.67919062275	0.279958538983152	0.320471894071827	0.761997862373988	0.382704019041293	0.565707337047077
FBgn0000261	14164.0984044906	-0.267156423355682	0.285192317016095	0.876247865698119	0.349231422301038	0.534705377239659
FBgn0000273	1992.78633702955	0.0686734647921415	0.263244068625423	0.0680433012486361	0.794207328867634	0.877310925543736
FBgn0000274	101.554149574363	0.780716850913528	0.549783510037801	1.99999934868237	0.157299274642009	0.326623100702313
FBgn0000283	1365.45571146268	-0.702615529594507	0.328160838524395	4.54053773006018	0.0331011921205168	0.115615297839496
FBgn0000286	1040.43709206063	-0.195559148495243	0.248326415534607	0.619554197507071	0.431212997182648	0.609135104425788
FBgn0000287	332.32042425284	-0.761506491769594	0.424181184475882	3.18870592137135	0.0741486876693477	0.201617779954856
FBgn0000289	2010.94518631002	-0.289939377831332	0.340684540385465	0.722991771611134	0.395164303869696	0.57745742445721
FBgn0000299	17685.4860522646	0.984028922142033	0.398285741091536	5.98944594664491	0.0143917220413489	0.0627692511278193
FBgn0000307	839.436171233478	-0.88819933900402	0.287532329368934	9.40088495347793	0.00216880735592862	0.0143851200506777
FBgn0000308	14772.9401696964	-0.0427199625862654	0.296714844567266	0.0207291096833018	0.885519363502098	0.935438888608477
FBgn0000316	480.926994391879	-0.0582605580101959	0.402696591939743	0.0209357584086689	0.884954100660374	0.934958367543142
FBgn0000317	964.293496060738	-0.285175955802182	0.408224369263941	0.487117693337467	0.485215860360869	0.654760020668412
FBgn0000318	1678.52205980942	0.549829103135831	0.32432854181492	2.85723590460998	0.0909636852062488	0.229920147328238
FBgn0000319	13285.6689526624	-0.665481735029213	0.351973422300824	3.54357810124442	0.0597763803599011	0.176229008579312
FBgn0000320	412.536145792273	-0.288319997604199	0.355697059557124	0.656359826611194	0.417848010500404	0.598035256664148
FBgn0000326	451.392653984386	0.742907833300056	0.24558142255003	9.06419000584441	0.0026066397751211	0.0168023127056893
FBgn0000330	425.352129779606	-0.000783064351786862	0.27009124649175	9.07660478333128e-06	0.997596184576869	0.998421326168743
FBgn0000339	558.995438874395	0.358013432310452	0.455525835578863	0.616233894832448	0.432450246866983	0.609573395583069
FBgn0000346	305.901773421245	0.202130781446058	0.389843018264573	0.26880074255979	0.604137381031106	0.749640143178065
FBgn0000352	590.433426647297	-0.632509410902408	0.254815418811602	6.11878671427685	0.0133752572626894	0.0593573531375328
FBgn0000370	10955.4985415242	0.763110776404727	0.415772550130852	3.33024430118414	0.0680167708514459	0.191332464002573
FBgn0000376	339.413460899491	-0.211063029473095	0.329325548249812	0.410144935314591	0.521895951087966	0.685661347249119
FBgn0000377	653.813891464317	-0.328457141554104	0.323842436677562	1.02612402430542	0.311070764652058	0.499766573710723
FBgn0000382	1070.16632461225	-0.529932998860608	0.361053604225431	2.14207008464602	0.14330839784446	0.307686217932211
FBgn0000384	504.709760945584	0.408082817114264	0.493775108850484	0.680918568803648	0.409270597645362	0.5910523379465
FBgn0000392	521.622263360523	0.523365908032681	0.420461870163644	1.54211825106553	0.214302782943224	0.394928356387122
FBgn0000394	318.319154105598	0.299514230148818	0.303959255814918	0.969251294493958	0.324866974879197	0.511929912042196
FBgn0000395	580.867006500343	-0.407258683550251	0.274351003659521	2.19550526006503	0.138413815983157	0.300144654730502
FBgn0000404	794.097903939528	-0.236884522057161	0.3212805235918	0.543254448839221	0.461087098098101	0.63322814805898
FBgn0000405	1059.84100613797	-0.19500022332492	0.248452006261116	0.615825510362427	0.432602795850038	0.609573395583069
FBgn0000411	198.012323702963	-0.313246462732713	0.259459557958805	1.45642588893156	0.227499656430016	0.409983423396221
FBgn0000412	2627.27768221342	-0.183965919974415	0.26314985823335	0.488453254249237	0.48461808472871	0.654386393805064
FBgn0000414	1033.41716544095	-0.543550921988056	0.300351112602696	3.25546223032876	0.0711858641713624	0.196976239637844
FBgn0000447	896.864461674281	0.084177926577651	0.235707265451205	0.1275460765291	0.720990043256429	0.828937921322377
FBgn0000451	144.623915644784	-0.0996416928265452	0.29353860486841	0.115247705722474	0.734247012641122	0.838149891788451
FBgn0000454	7002.63908797447	0.625218355620001	0.312760144743838	3.96527944148077	0.0464478119739413	0.148066604222538
FBgn0000455	2987.94818095284	-0.170078232974248	0.226854015718812	0.561805125904712	0.453533842933751	0.626795773694516
FBgn0000459	146.677036934205	-0.765153587251855	0.479793632042714	2.51472558166867	0.112787265585867	0.263021813511753
FBgn0000464	1011.55914827067	-0.687032122889176	0.385899362593337	3.140496206397	0.0763705700452081	0.206083614006509
FBgn0000477	1385.92908781735	0.880844760336226	0.356608045557358	6.01084789374548	0.0142181938675835	0.0622367452498356
FBgn0000479	1105.28620828456	0.0956754591291549	0.265718534579084	0.129601917142111	0.71884514235076	0.826955774026021
FBgn0000482	640.521816015502	-0.447938635430712	0.296734467781573	2.26988594903999	0.131909609398058	0.290486080939671
FBgn0000489	656.620933074075	-0.0784431914310645	0.339365926459166	0.0534096321875097	0.817233043984387	0.891775815839701
FBgn0000490	248.013998080438	-0.344357151093272	0.382664616770483	0.807653334012699	0.368814953951117	0.552463837522689
FBgn0000492	222.978048804593	-0.300909673426137	0.285575482700274	1.10877057496801	0.292349354442453	0.481938309094508
FBgn0000499	714.636795474934	-0.343006413390798	0.309764062318782	1.22373193541702	0.268629499683659	0.45642765543041
