median FE,median P,gene
1.87421319756857,64.76044771459622,PPP1R16A
1.87421319756857,64.76044771459622,LOC101928953
1.72525388530938,51.89349026768976,KIAA1656
1.72525388530938,51.89349026768976,RNF215
1.31830815378824,43.61140311036164,PTPN23
1.16388970801987,42.21305087739897,TSPOAP1
1.27168682526471,41.000531675553596,DGCR8
1.53080403925517,39.606121052113075,SFI1
1.67139281807766,39.27913535204818,LOC105369395
2.09297542022768,38.175786842465534,ABCC3
1.537530638559505,36.0462925988362,CROCC2
1.13719362506759,35.725404121885106,LOC124900270
1.64615682575377,35.65998043128723,CLK3-AS1
1.91885070801057,35.23508847805799,GTPBP1
1.7544257305506,34.665044121651675,LOC107987039
1.444347687119,34.53707580133633,SCAP
1.36161155798491,34.44601249714083,NECAB3
1.36161155798491,34.44601249714083,C20orf144
2.4750530310966,34.10396034959696,LOC124904092
1.49911195024466,34.012293367620906,PLA2G3
2.245724162742765,33.7570052249234,BAHCC1
1.49362693524667,33.756908192080836,STARD3
1.36051227180455,33.494136783990506,OTOF
1.47440156476296,33.49315872388975,CFAP100
1.47440156476296,33.49315872388975,LOC124906280
1.93314691686949,33.39961044739311,SPOCD1
1.81722672899281,33.340724877087325,CA4
1.42172538602703,33.207025635175064,TSC2
2.10017093873598,32.94335348436722,SH3GLB2
1.24881258282254,32.70697464668291,COL20A1
1.61638153781843,32.14284992216251,KIF1A
1.43169469918568,32.10125676815455,LSP1
1.37123480326341,31.761481577021687,GREP1
1.83194853833471,31.71662282338939,MIR4655
1.83194853833471,31.71662282338939,LOC100127955
1.28113782093197,31.616647918730305,NAPRT
1.87577063867825,31.184729879631988,P2RX6
1.95535562335358,31.155644665403337,MYO1G
1.2917970526154,30.972957731379122,UBAP2
1.37645554340385,30.91643675857603,ARHGEF11
1.37645554340385,30.91643675857603,MIR765
1.45008764186891,30.813348149630595,EFEMP2
1.02499855717604,30.796399418897444,SLURP2
1.489045119107375,30.71902658069728,AATK
1.173453341967295,30.353764280679677,SCRIB
1.46932043271952,30.294919261155858,DERL3
2.00712039055447,30.182768703488836,PALD1
1.04345407308837,30.13819231347358,MIR937
1.81810923512421,29.930779730337502,PLXNA1
1.57056592214967,29.70175074686646,CLDN5
1.30032771306462,29.5560899232092,FSCN2
2.0114424950356646,29.523021530889388,CCDC154
1.14225805971093,29.47558093343964,EEF1D
1.05267341635417,29.30969577407997,CCDC157
1.42969097322391,29.16516597489566,RBFOX3
1.82959339343805,28.810647771295024,PPM1M
1.86843502562385,28.7992175768114,MOB2
1.37121894092101,28.7790060789188,MYO15B
1.00120447975418,28.359304072660443,RBBP8NL
1.00120447975418,28.359304072660443,LOC105372710
1.65983846971084,28.289116535590697,CRYBG2
2.16720872714293,28.27919936168757,VWF
1.31453251582579,28.21209641757785,LGALS3BP
2.02063052709661,27.86902131393192,LINC03129
1.91340356889543,27.42354410046241,TTC38
1.64796069367394,27.239606602146623,PRPH
1.64796069367394,27.239606602146623,TROAP-AS1
1.72680602269263,27.221742058575487,LINC02043
1.35599787649544,27.15049876598278,COL9A3
1.35913189664556,27.01331077551144,PACSIN1
1.36369935870524,26.82219499622585,LOC105370792
1.5858582205961351,26.808189131201253,LZTR1
1.03837301581576,26.710269877937403,LOC124905084
1.42015591499571,26.684078424121566,PLEKHG5
1.8593085012557,26.653102624937326,C1orf167
1.14748302158232,26.64356215602267,CASP16P
1.14748302158232,26.64356215602267,ZNF205-AS1
1.04167884367782,26.415903611523557,LYNX1-SLURP2
1.04167884367782,26.415903611523557,LYNX1
1.38103480710565,26.023862810216997,LRP5L
1.62056462078305,25.997304420211304,SLC25A34
1.72173165376278,25.71553234884204,PACS1
1.03495087365536,25.44781091988748,ULK1
1.04894188118094,25.41377891323129,MIR3909
1.45163527881159,25.394868202953656,LOC105375220
1.45163527881159,25.394868202953656,INMT
2.13907957923112,25.295558056087685,CHADL
1.0141495035801,25.250613983291732,COL2A1
1.38497588092005,25.10557232524252,SH3BP1
1.27320603469478,25.008731336181526,LOC101929129
1.14074406151615,24.85582824723182,KIFC2
1.49289605380283,24.77498560546547,PCBP4
1.47690775270497,24.765000419097856,LLGL2
1.07796980024611,24.720871980583546,C1QC
1.63614217265369,24.648805876794565,GRHPR
2.24390617410479,24.427571807796433,KLHDC7B
2.24390617410479,24.427571807796433,KLHDC7B-DT
1.36322870997064,24.379372395732478,RNPEPL1
1.21149586047581,24.364100817378606,ADORA2A
1.40604105527045,24.256693354119225,RASSF1
1.40604105527045,24.256693354119225,ZMYND10
1.04354048824169,24.194742720777505,PFKL
1.496079676438,24.178506454739722,CNR2
1.59383489492753,24.067650161212505,SEC14L6
1.63537446581792,24.00736477734142,CLCN2
1.14701668900345,24.00736477734142,LOC105378351
1.04597842766857,23.95376171279326,FCSK
1.0048704447522,23.929845786974465,MYRF
