	h1M8_1	h1M8_2	h1M8_3	h2F14_1	h2F14_2	h2F14_3	h2M8_1	h2M8_2	h2M8_3	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
FBgn0000008	7.88899194150622	2.40436431197014	7.64132531576745	4.49673895028622	4.47410803762031	3.10155775171161	4.16994243604355	1.10928281624006	2.99070596240163	1.86862736232382	6.34927316304189	2.04612727770357	3.97353648459362	4.06941794719426	13.1698609101184
FBgn0000014	20.5843562025909	9.11607410400832	16.5221367362614	15.028010338859	21.3705556884815	14.9174645709808	8.70656482674334	3.39363864285052	9.79775508302787	9.1162569635071	13.8860943966113	7.72937871683863	17.5931887833241	17.4336407308856	26.5618303064019
FBgn0000015	4.75031768993101	2.42129011007488	4.04131371509596	3.88881454829504	5.4978314033302	3.69187950355242	3.29590425865576	1.33571732250159	2.37540241152503	2.34102641765938	4.27193773416808	2.31987406994463	5.16622166345095	4.94884785694821	5.85471322872118
FBgn0000017	18.5937024640772	10.6425446195165	16.0948648749317	12.0666640520671	15.9371622644579	4.49955687814628	9.40769954189539	3.69396447960095	8.14911651927006	6.64669837748361	9.7284452427258	5.60375424923728	13.2204045332133	15.0563915998797	19.0313825222773
FBgn0000018	7.34487623116084	5.07785042063256	5.49551896126197	6.13001230032611	5.91636460521285	5.73884703860947	6.77120785720905	4.02265734423746	6.45648091872282	4.89738452704118	5.10244759306214	3.6453051921626	8.0312375057107	8.08445072460713	6.87513611882951
FBgn0000022	0.750750215869955	0.133407965187597	1.60863492405537	0.806669931891105	1.23573266245628	2.57037754026224	0.551035861224002	1.13443964901134	0.410236027960949	1.05271497949176	1.48330196040117	1.1236354537705	1.62081782358329	1.78682682230055	1.51789006336015
FBgn0000024	9.02506830325489	6.54002046901801	8.92855407998956	7.8893037674934	9.71789400122637	4.21654577551631	7.2407276890323	3.38077885910475	6.24802379366121	5.90010263368449	7.76591352572796	6.59277364124778	9.5742869160904	10.0285495696424	12.3928317152487
FBgn0000028	0.647866012495626	0.291858391509058	0.328963815294103	0.425674285871307	0.478517058555859	0.447701333803939	1.25230059519292	0.333112730223001	0.478280506250589	0.321213901765241	0.354441382233424	0.325707658182828	0.778460132379219	0.620533869783841	0.670768627819325
FBgn0000032	18.1612433523073	12.5724937288201	15.3090204339391	19.5375674785084	22.775240008244	20.3060370641218	14.9718875221605	13.3173768253674	11.2590512563353	16.1237815406196	19.6290433387931	15.712060301282	20.5872690844151	22.8466484263305	20.784667541371
FBgn0000036	0.367496301662528	0.291411765532969	0.428450986819874	0.626627313758845	0.923325622433274	0.207129725058128	0.70090737671742	0.26473075494633	0.35806290913155	0.456276812805255	0.418223735253535	0.357549522815716	0.543503237203958	0.723604388706364	0.757172705886763
FBgn0000037	0.710104285776493	0.520410633256615	0.571793091616545	0.56637374013291	0.833911410466585	0.174416208982369	0.794940027641339	0.266594213848699	0.390014512217495	0.572932562295881	0.424409174599207	0.332433476223139	0.62175583647166	1.03749586224842	0.681103931925318
FBgn0000038	1.25774948995571	0.936855503659306	1.30386573526457	1.11038302914304	1.77071606380031	0.606313977472314	1.86145710179725	1.14262705608321	1.58312487005391	0.947857133507886	1.50448401131961	0.576621457464266	1.77873698047237	1.6657406391851	1.75021583672725
FBgn0000039	1.36730510850224	0.909100018105893	1.0719804428533	0.943980675126828	1.77918197944246	1.21924053843971	1.09084997359441	0.240313875551272	0.885512071089395	1.09296475953191	1.04083485923031	0.492441082860124	1.76854104671877	1.58292716685058	2.08954538096974
FBgn0000042	3920.79129902441	2761.29925505515	3958.64804075658	3077.25524506925	3076.60433508127	1592.57804156806	2703.55660946267	1033.54936569166	2785.73899472237	1993.43423432515	2628.35016170221	1944.03733272312	2290.55281194248	2842.02974599872	4414.52078368733
FBgn0000043	653.335332171167	389.058384821462	590.042281213705	338.398936259291	448.219953257661	368.550731271509	267.070813440539	193.093460098027	257.626789966044	301.950029877855	398.399543779843	258.070045270533	438.535593391377	496.011093977639	592.466478507843
FBgn0000044	6626.84442570118	6767.23936795892	7660.77548533461	8459.76961283697	4635.46798932372	1791.63899552308	6442.56064128099	3109.87951667923	9567.03346473989	9706.44405708265	6852.92497242056	6558.63965175765	3216.80199340002	3991.90100116519	3162.06667869535
FBgn0000045	0.116830400039592	0.765218821977135	0.335847156041803	0.714014549395097	0.344360612575905	0.97990035329076	0.416140150505199	0.202414440962518	0.128269844799597	0.613986121608851	0.795276804725263	0.49380740261114	1.00274502001745	0.307625917993589	0.892044944826424
FBgn0000046	281.477385161595	270.305440124422	364.212620363085	623.508214745115	411.141493378861	223.742389891282	371.440666993877	224.865015517982	588.549163856678	597.199660552628	386.176557565467	419.156769042366	453.072662550913	590.998401376666	475.780077370101
FBgn0000047	0.0749126566062385	0.301088307156928	0.686417097858459	0.0807851244960611	0.0657199545010212	0.498323629848847	0	0	0.041120868244403	0.0347189514604733	0.127411411248146	0.0942282833470225	0	0.147884404971398	0.145241444919021
FBgn0000052	58.6360429575859	31.6869452170299	48.2152346991956	42.8268637811973	61.1521959548466	30.8552886937802	21.2349496858911	13.4456052439673	18.7860425586326	57.8191606269906	39.3148868160866	40.6757287987823	50.5499875947639	55.7756071327094	64.6664699207972
FBgn0000053	95.1763693918019	38.8141785006826	100.925235346703	109.557934874626	249.862014371726	149.490846666863	39.3874049195969	12.4695904130143	24.8485159570627	59.9709531214053	94.0114647936714	54.0318153496812	92.881547320083	90.006080850336	149.998807914149
FBgn0000055	1417.26592558238	2085.90091238719	1760.04282056271	1406.08534939452	609.486142137166	648.160993272041	1643.10282558919	1870.02407548586	1381.05911694825	3115.06934042913	2836.01804354762	2976.52960933966	1174.82464917923	949.212969279804	1155.9505601217
FBgn0000056	1.37633680610095	1.81568988202624	1.45084790048024	2.3617643884198	1.12721031780718	2.58178835823357	0.67133751428228	2.01981536360832	1.28394113450245	2.09426310547311	3.08627354942035	2.36402296613192	1.32953555666744	3.97446903718782	1.30407010514716
FBgn0000057	19.97050004443	12.2701578044801	16.4848756801252	15.6840027882406	20.650000064787	11.6287737942519	20.8731309319527	10.3202575658561	14.6892930261547	12.8408240176928	15.7720782856241	13.3428337371241	23.2599019237906	18.9877533990302	21.281394943807
FBgn0000061	4.89140086443816	4.9232257253001	5.52349811725444	5.94328646829794	6.57147779549814	5.16816525424017	5.38635749512814	1.88133246260255	3.95106906106561	3.92962288707437	7.4843746547172	3.5631404989201	5.97000306329199	6.99942389062866	7.70304985817439
FBgn0000063	2.49111553720845	1.79274396724848	2.45687150311576	2.48125652022993	2.65324656089723	2.6158260688785	2.78151359534303	1.33661178149235	2.04745884254121	2.27553195807334	2.61841036326808	2.18531787737939	3.44810404192967	3.31412628473249	2.99910019934465
FBgn0000064	1718.40734314065	1607.17691832779	1782.97051876296	1760.08840736502	914.463943446904	319.484557868961	1496.13603794481	1176.88908270729	1897.59340223906	1911.97958090454	1397.55928769918	1591.88983706223	742.92274358857	906.608969166423	739.403827222206
FBgn0000071	165.568219531959	41.0828980952688	223.802020640465	75.6661526925161	187.09783531768	161.560873883155	56.1549775986507	25.7067296471753	18.5571967898658	23.9144024474414	158.077338549018	59.5488282056957	107.496788119337	109.574231522903	343.610161594831
