baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0011556	2044.30974036178	2.49710501982262	0.216216123623533	133.138031273489	8.43392916598473e-31	2.37019765592815e-28	225.699047645146	52.4222609117936	FBgn0011556	zetaTrypsin	protein_coding	36216
FBgn0053502	254.45784999733	2.86261458456451	0.25008438021083	132.235230918378	1.32900482290035e-30	3.62173950677056e-28	25.4680438960388	4.68422877502746	FBgn0053502		protein_coding	2768875
FBgn0036321	5778.13438880129	3.39146996025919	0.289854684902787	129.832719478976	4.45808374391831e-30	1.17916315026639e-27	125.066434651519	15.0896202301312	FBgn0036321		protein_coding	39463
FBgn0052667	430.103201365422	2.41437040981543	0.213960067892699	128.833111951005	7.37672448836982e-30	1.89539666639742e-27	258.717950783376	65.7793294332049	FBgn0052667	short spindle 7	protein_coding	318146
FBgn0037715	420.943861167638	2.80606495297534	0.247195552316318	128.479840970143	8.8137901816643e-30	2.20173375288075e-27	42.5563179976537	8.1373830035179	FBgn0037715		protein_coding	41157
FBgn0003357	149097.040713869	3.05496138934262	0.265256957840536	128.232402993809	9.98402142201499e-30	2.42665688238327e-27	20649.8957688271	3300.18334193616	FBgn0003357	Jonah 99Ciii	protein_coding	43543
FBgn0012036	9408.25361266526	2.8136343654521	0.247635324310328	126.594620720464	2.27873845585011e-29	5.39281445617369e-27	458.476543972117	84.4191125188847	FBgn0012036	Aldehyde dehydrogenase	protein_coding	34256
FBgn0038136	2334.37262957206	4.01120010563946	0.343055258342152	124.659276411343	6.0428696634333e-29	1.39342376623733e-26	76.7641699108289	7.034472495807	FBgn0038136		protein_coding	41635
FBgn0052284	255.860609387666	3.69618558411816	0.326937493592541	124.574562683075	6.30643487852797e-29	1.41784422156505e-26	106.329538440501	11.1063756931639	FBgn0052284		protein_coding	317956
FBgn0038450	96.8791525352505	5.47930510724143	0.518611426676309	123.234801627399	1.2388561366593e-28	2.71732517975051e-26	6.29498523905108	0.234071190398767	FBgn0038450		protein_coding	42022
FBgn0038144	113.410874741555	5.65540142889795	0.531583387688857	120.134067138578	5.91266097659618e-28	1.26601333720308e-25	8.45100631612894	0.24212256358717	FBgn0038144		protein_coding	41645
FBgn0020545	1645.5509525275	1.60999756500484	0.149178632769734	119.296612351602	9.01838206688065e-28	1.88610023087111e-25	109.819287469997	47.8928074179799	FBgn0020545	kraken	protein_coding	33265
FBgn0027657	1759.28671460802	4.1014534125184	0.359445041840115	118.149282263529	1.60817296223373e-27	3.2868862384927e-25	189.624231350794	16.3549333197529	FBgn0027657	globin 1	protein_coding	41930
FBgn0033297	1132.49855198376	-2.71849487040682	0.229463557575998	116.813351224808	3.15395464722846e-27	6.30300314278346e-25	6.60061817475545	54.3666528648695	FBgn0033297	Maltase A8	protein_coding	35830
FBgn0003082	481.89502539926	-3.51909873972378	0.298007394043821	116.474303485079	3.7419632698928e-27	7.31553819264041e-25	1.74829555967892	27.2691437616657	FBgn0003082	photorepair	protein_coding	35735
