baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0085362	1147.69548690286	13.8705040052138	1.19586402473581	913.073288687743	1.41210656568322e-200	1.12403682628385e-196	72.4908269506201	0	FBgn0085362	Vitelline membrane-like	protein_coding	5740271
FBgn0004427	26317.3776600529	12.4413014327432	0.390979170442125	741.197163474752	3.29207836178784e-163	1.31024718799156e-159	11748.4517586731	2.08158272776842	FBgn0004427	Lysozyme D	protein_coding	38127
FBti0019430	1541.98862195177	-10.4852021046421	0.740179441210709	719.150594418245	2.04814603389072e-158	5.43441414325672e-155	0.0233529157179473	26.4859577710744	FBti0019430		transposable_element	NA
FBgn0004425	32876.9795086978	6.05753153719596	0.204068715703334	682.609229359575	1.8092945139115e-150	3.60049608268388e-147	13742.6449227613	223.320729797439	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0033395	399.340548544652	10.4895510977342	1.0507442665986	492.402416396413	4.27637968884743e-109	6.80799646464511e-106	27.7164198163409	0.0282951487484123	FBgn0033395	Cytochrome P450 4p2	protein_coding	35946
FBgn0036833	6239.45250413838	6.30577705331697	0.285889276107304	376.562862354183	6.97090171507132e-84	9.24806294199462e-81	590.989413202456	7.93810096464049	FBgn0036833		protein_coding	40069
FBgn0015714	365.955631518178	8.7668459176323	0.66393572831489	335.163142745847	7.21562532290333e-75	8.20519679575865e-72	29.591199950034	0.0767286882527824	FBgn0015714	Cytochrome P450 6a17	protein_coding	45556
FBgn0034710	3476.86983232407	-8.22477463887602	0.370071024588042	325.518478444727	9.09680106123641e-73	9.05131705593023e-70	0.562255674862249	159.583851207882	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBti0019466	275.527783575302	5.55772140837487	0.334618885672139	310.328980792925	1.85164855880423e-69	1.63768028089796e-66	3.92585298776632	0.0797117223779791	FBti0019466		transposable_element	NA
FBgn0037975	1690.98046975656	-13.9908213721484	1.48111295151103	308.448588062567	4.75545451575285e-69	3.78534179453927e-66	0	120.7227193606	FBgn0037975		protein_coding	41454
FBgn0050489	788.897927004451	2.70810651808282	0.172114006790708	248.835304011844	4.65968150771582e-56	3.37191498194708e-53	45.6105702517896	7.76631633908605	FBgn0050489	Cytochrome P450 12d1 proximal	protein_coding	246648
FBgn0050360	2841.03953338711	-3.66983512035187	0.205270748034321	238.729548258156	7.44258346226354e-54	4.93691369663481e-51	9.14558534769919	129.938161076894	FBgn0050360	Maltase A6	protein_coding	246565
FBgn0033836	378.215722268188	-6.72456319140723	0.481969245184969	234.331332124028	6.77311851653271e-53	4.14723256858465e-50	0.203519167143795	18.3374117547892	FBgn0033836		protein_coding	36487
FBgn0050104	926.56765735653	2.54330568986821	0.169719999265928	226.059708663782	4.31207295612719e-51	2.45172148076946e-48	45.1601915197469	8.34250596313951	FBgn0050104	Ecto-5'-nucleotidase 2	protein_coding	246458
FBgn0000640	66913.6154572604	-6.11728774375352	0.305135514695213	223.73057525487	1.38892992930626e-50	7.3705881581852e-48	107.097953763439	8671.64235013361	FBgn0000640	Fat body protein 2	protein_coding	34259
FBgn0000473	732.676882991022	7.65639267890375	0.503894124904343	202.50281955192	5.93850590631346e-46	2.95440668839095e-43	53.1166109655667	0.308882588008034	FBgn0000473	Cytochrome P450 6a2	protein_coding	35587
FBgn0283432	120.320864995166	10.6145678252031	1.2372035436503	199.425763032638	2.78704599368708e-45	1.30499330057348e-42	6.57623566367313	0	FBgn0283432	Sperm-specific dynein intermediate chain A	protein_coding	26067074
FBgn0033593	894.122763819828	-2.98182861803543	0.195637559088488	194.849548971439	2.77873689218806e-44	1.22881920343428e-41	36.0721219071332	290.166649229948	FBgn0033593	Listericin	protein_coding	36183
FBgn0037930	267.36588845137	3.2287232333741	0.235482973554963	192.207440494129	1.04835584830013e-43	4.3920592381416e-41	62.33218052911	6.79974012541299	FBgn0037930		protein_coding	41403
FBgn0033520	349.694986764517	4.66748067124611	0.349714184520076	168.460595372635	1.60471002826082e-38	6.38674591247808e-36	58.8990181162769	2.26827878163626	FBgn0033520	Peroxiredoxin 2540-1	protein_coding	246663
FBgn0027073	319.270792268075	3.06275879623536	0.248948610968195	151.880796367879	6.7278903869381e-35	2.55019083238225e-32	19.0593371728191	2.3086100516199	FBgn0027073	UDP-glycosyltransferase family 49 member B1	protein_coding	37420
FBgn0033820	868.74754662167	5.27149523050892	0.397090634774008	151.491985151553	8.18196630148526e-35	2.96038417090103e-32	165.674850938113	4.08921737889434	FBgn0033820		protein_coding	36471
FBti0019129	376.715803578406	3.23554305422868	0.265685471255974	146.853534039465	8.44791470001457e-34	2.58636157738908e-31	5.94292615320279	0.706364910327039	FBti0019129		transposable_element	NA
FBti0019307	376.715803578406	3.23554305422868	0.265685471255974	146.853534039465	8.44791470001457e-34	2.58636157738908e-31	5.94292615320279	0.706364910327039	FBti0019307		transposable_element	NA
FBti0019387	376.715803578406	3.23554305422868	0.265685471255974	146.853534039465	8.44791470001457e-34	2.58636157738908e-31	5.94292615320279	0.706364910327039	FBti0019387		transposable_element	NA
FBti0019467	376.715803578406	3.23554305422868	0.265685471255974	146.853534039465	8.44791470001457e-34	2.58636157738908e-31	5.94292615320279	0.706364910327039	FBti0019467		transposable_element	NA
FBgn0036108	167.336094501138	-6.70737057479599	0.678600633174864	145.336583159226	1.81290933674539e-33	5.3447253038864e-31	0.366268325125856	40.0411785750551	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBgn0053346	1322.07640007264	-2.4926468368257	0.19239508691784	142.075921923022	9.36010239565937e-33	2.66094339533745e-30	17.629454744157	104.598168370063	FBgn0053346		protein_coding	2768690
FBgn0036766	2023.13072636785	2.93782571342531	0.249686473231199	135.328922179431	2.79763293024767e-31	7.67902004302465e-29	428.966351734012	56.9276769015496	FBgn0036766		protein_coding	39992
FBgn0026602	1140.21756115465	-1.82426367686589	0.154970018055453	124.739663748375	5.80295917431437e-29	1.53971850091808e-26	9.86301037648018	37.7347162205543	FBgn0026602	Adenosine kinase 3	protein_coding	44750
FBgn0032049	1932.55135705611	2.63215089442349	0.235289124560551	124.187488281513	7.66480948023598e-29	1.96812527298962e-26	171.823500622079	27.5723527306895	FBgn0032049	beta-site APP-cleaving enzyme	protein_coding	34182
FBgn0029710	446.541929006383	2.85105410595406	0.257073162294801	122.659338982026	1.65569935103042e-28	4.11855213568817e-26	27.4239310369272	4.30759012628757	FBgn0029710		protein_coding	31383
FBti0020111	76.0004645812974	9.95821417436771	1.2782616866301	118.89909629364	1.1019483393633e-27	2.65803296403995e-25	3.07059675045545	0	FBti0020111		transposable_element	NA
FBgn0033942	255.417999229701	2.71969378154687	0.252452295682857	117.923894072606	1.80170246434063e-27	4.21810341651513e-25	55.006908838153	8.90064935393348	FBgn0033942	Cuticular protein 51A	protein_coding	36613
FBgn0033327	1889.82789554601	4.48602079837142	0.402174713809595	109.821688676816	1.07213874111153e-25	2.43834982264223e-23	480.088609425913	25.9725370972291	FBgn0033327	Peptidoglycan recognition protein SC1b	protein_coding	35861
FBgn0000078	5480.11179607255	2.47869589548349	0.236793721973763	109.266697303221	1.41855689511483e-25	3.13658691253168e-23	339.07749567102	57.3910380848982	FBgn0000078	Amylase distal	protein_coding	36932
FBgn0039778	38148.9748433901	3.4390111391818	0.322023714473371	107.659177006536	3.1921034190896e-25	6.86733600431168e-23	5138.122152024	463.065032581881	FBgn0039778	Jonah 99Fi	protein_coding	43622
RR48348_transposable_element	2398.91586843983	4.66216746865804	0.419120155137401	107.561405536714	3.35352497088852e-25	7.02475230744017e-23	54.2525837050277	1.74936198580687	RR48348_transposable_element		transposable_element	NA
FBgn0000079	2056.29111821719	2.18379926806654	0.212343049942003	106.825426553822	4.8616273237599e-25	9.92270602490483e-23	121.692221572735	28.1287921140398	FBgn0000079	Amylase proximal	protein_coding	47764
FBgn0033205	571.08616080286	3.51754862889231	0.334134854251878	105.93649057499	7.6136616536592e-25	1.51511866907818e-22	55.1924625628225	5.92170910170899	FBgn0033205	Retinol dehydrogenase 1	protein_coding	35708
FBgn0034819	3704.51944887067	-2.89711194767576	0.262982135712575	95.8021933602891	1.2695498232881e-22	2.4647845349691e-20	227.541529657142	1647.90064348921	FBgn0034819		protein_coding	37666
FBgn0031560	357.923203838279	2.27605436707844	0.241154032386344	90.4569919023738	1.89041708168844e-21	3.58279046910476e-19	343.114669108156	71.6043048628556	FBgn0031560		protein_coding	33591
